run_accession,study_accession,sample_accession,secondary_sample_accession,experiment_accession,tax_id,scientific_name,fastq_ftp,submitted_ftp,sra_ftp
SRR17179098,PRJNA787062,SAMN23768705,SRS11267616,SRX13362742,573,Klebsiella pneumoniae,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/098/SRR17179098/SRR17179098_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/098/SRR17179098/SRR17179098_2.fastq.gz,NA,NA
SRR17179099,PRJNA787062,SAMN23768627,SRS11267615,SRX13362741,573,Klebsiella pneumoniae,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/099/SRR17179099/SRR17179099_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/099/SRR17179099/SRR17179099_2.fastq.gz,NA,NA
SRR17179103,PRJNA787062,SAMN23768764,SRS11267610,SRX13362737,615,Serratia marcescens,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/003/SRR17179103/SRR17179103_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/003/SRR17179103/SRR17179103_2.fastq.gz,NA,NA
SRR17179106,PRJNA787062,SAMN23768761,SRS11267609,SRX13362734,573,Klebsiella pneumoniae,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/006/SRR17179106/SRR17179106_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/006/SRR17179106/SRR17179106_2.fastq.gz,NA,NA
SRR17179116,PRJNA787062,SAMN23768756,SRS11267598,SRX13362724,299767,Enterobacter ludwigii,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/016/SRR17179116/SRR17179116_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/016/SRR17179116/SRR17179116_2.fastq.gz,NA,NA
SRR17179123,PRJNA787062,SAMN23768752,SRS11267591,SRX13362717,550,Enterobacter cloacae,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/023/SRR17179123/SRR17179123_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/023/SRR17179123/SRR17179123_2.fastq.gz,NA,NA
SRR17179126,PRJNA787062,SAMN23768700,SRS11267588,SRX13362714,573,Klebsiella pneumoniae,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/026/SRR17179126/SRR17179126_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/026/SRR17179126/SRR17179126_2.fastq.gz,NA,NA
SRR17179129,PRJNA787062,SAMN23768750,SRS11267585,SRX13362711,573,Klebsiella pneumoniae,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/029/SRR17179129/SRR17179129_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/029/SRR17179129/SRR17179129_2.fastq.gz,NA,NA
SRR17179130,PRJNA787062,SAMN23768749,SRS11267584,SRX13362710,573,Klebsiella pneumoniae,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/030/SRR17179130/SRR17179130_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/030/SRR17179130/SRR17179130_2.fastq.gz,NA,NA
SRR17179133,PRJNA787062,SAMN23768747,SRS11267580,SRX13362707,83655,Leclercia adecarboxylata,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/033/SRR17179133/SRR17179133_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/033/SRR17179133/SRR17179133_2.fastq.gz,NA,NA
SRR17179139,PRJNA787062,SAMN23768741,SRS11267574,SRX13362701,244366,Klebsiella variicola,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/039/SRR17179139/SRR17179139_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/039/SRR17179139/SRR17179139_2.fastq.gz,NA,NA
SRR17179143,PRJNA787062,SAMN23768623,SRS11267571,SRX13362697,573,Klebsiella pneumoniae,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/043/SRR17179143/SRR17179143_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/043/SRR17179143/SRR17179143_2.fastq.gz,NA,NA
SRR17179144,PRJNA787062,SAMN23768737,SRS11267570,SRX13362696,573,Klebsiella pneumoniae,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/044/SRR17179144/SRR17179144_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/044/SRR17179144/SRR17179144_2.fastq.gz,NA,NA
SRR17179146,PRJNA787062,SAMN23768735,SRS11267568,SRX13362694,244366,Klebsiella variicola,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/046/SRR17179146/SRR17179146_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/046/SRR17179146/SRR17179146_2.fastq.gz,NA,NA
SRR17179147,PRJNA787062,SAMN23768734,SRS11267567,SRX13362693,573,Klebsiella pneumoniae,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/047/SRR17179147/SRR17179147_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/047/SRR17179147/SRR17179147_2.fastq.gz,NA,NA
SRR17179148,PRJNA787062,SAMN23768733,SRS11267566,SRX13362692,573,Klebsiella pneumoniae,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/048/SRR17179148/SRR17179148_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/048/SRR17179148/SRR17179148_2.fastq.gz,NA,NA
SRR17179149,PRJNA787062,SAMN23768732,SRS11267565,SRX13362691,244366,Klebsiella variicola,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/049/SRR17179149/SRR17179149_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/049/SRR17179149/SRR17179149_2.fastq.gz,NA,NA
SRR17179152,PRJNA787062,SAMN23768730,SRS11267562,SRX13362688,244366,Klebsiella variicola,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/052/SRR17179152/SRR17179152_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/052/SRR17179152/SRR17179152_2.fastq.gz,NA,NA
SRR17179154,PRJNA787062,SAMN23768622,SRS11267560,SRX13362686,573,Klebsiella pneumoniae,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/054/SRR17179154/SRR17179154_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/054/SRR17179154/SRR17179154_2.fastq.gz,NA,NA
SRR17179159,PRJNA787062,SAMN23768650,SRS11267556,SRX13362681,244366,Klebsiella variicola,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/059/SRR17179159/SRR17179159_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/059/SRR17179159/SRR17179159_2.fastq.gz,NA,NA
SRR17179163,PRJNA787062,SAMN23768900,SRS11267551,SRX13362677,573,Klebsiella pneumoniae,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/063/SRR17179163/SRR17179163_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/063/SRR17179163/SRR17179163_2.fastq.gz,NA,NA
SRR17179165,PRJNA787062,SAMN23768898,SRS11267549,SRX13362675,573,Klebsiella pneumoniae,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/065/SRR17179165/SRR17179165_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/065/SRR17179165/SRR17179165_2.fastq.gz,NA,NA
SRR17179171,PRJNA787062,SAMN23768893,SRS11267543,SRX13362669,573,Klebsiella pneumoniae,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/071/SRR17179171/SRR17179171_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/071/SRR17179171/SRR17179171_2.fastq.gz,NA,NA
SRR17179173,PRJNA787062,SAMN23768891,SRS11267541,SRX13362667,573,Klebsiella pneumoniae,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/073/SRR17179173/SRR17179173_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/073/SRR17179173/SRR17179173_2.fastq.gz,NA,NA
SRR17179179,PRJNA787062,SAMN23768886,SRS11267536,SRX13362661,59814,Pantoea dispersa,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/079/SRR17179179/SRR17179179_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/079/SRR17179179/SRR17179179_2.fastq.gz,NA,NA
SRR17179190,PRJNA787062,SAMN23768693,SRS11267524,SRX13362650,562,Escherichia coli,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/090/SRR17179190/SRR17179190_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/090/SRR17179190/SRR17179190_2.fastq.gz,NA,NA
SRR17179200,PRJNA787062,SAMN23768769,SRS11267514,SRX13362640,573,Klebsiella pneumoniae,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/000/SRR17179200/SRR17179200_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/000/SRR17179200/SRR17179200_2.fastq.gz,NA,NA
SRR17179201,PRJNA787062,SAMN23768706,SRS11267513,SRX13362639,573,Klebsiella pneumoniae,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/001/SRR17179201/SRR17179201_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/001/SRR17179201/SRR17179201_2.fastq.gz,NA,NA
SRR17179205,PRJNA787062,SAMN23768849,SRS11267509,SRX13362635,59814,Pantoea dispersa,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/005/SRR17179205/SRR17179205_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/005/SRR17179205/SRR17179205_2.fastq.gz,NA,NA
SRR17179206,PRJNA787062,SAMN23768848,SRS11267508,SRX13362634,59814,Pantoea dispersa,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/006/SRR17179206/SRR17179206_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/006/SRR17179206/SRR17179206_2.fastq.gz,NA,NA
SRR17179207,PRJNA787062,SAMN23768847,SRS11267507,SRX13362633,244366,Klebsiella variicola,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/007/SRR17179207/SRR17179207_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/007/SRR17179207/SRR17179207_2.fastq.gz,NA,NA
SRR17179208,PRJNA787062,SAMN23768686,SRS11267506,SRX13362632,562,Escherichia coli,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/008/SRR17179208/SRR17179208_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/008/SRR17179208/SRR17179208_2.fastq.gz,NA,NA
SRR17179212,PRJNA787062,SAMN23768844,SRS11267502,SRX13362628,244366,Klebsiella variicola,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/012/SRR17179212/SRR17179212_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/012/SRR17179212/SRR17179212_2.fastq.gz,NA,NA
SRR17179216,PRJNA787062,SAMN23768841,SRS11267498,SRX13362624,244366,Klebsiella variicola,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/016/SRR17179216/SRR17179216_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/016/SRR17179216/SRR17179216_2.fastq.gz,NA,NA
SRR17179223,PRJNA787062,SAMN23768836,SRS11267491,SRX13362617,244366,Klebsiella variicola,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/023/SRR17179223/SRR17179223_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/023/SRR17179223/SRR17179223_2.fastq.gz,NA,NA
SRR17179225,PRJNA787062,SAMN23768834,SRS11267489,SRX13362615,550,Enterobacter cloacae,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/025/SRR17179225/SRR17179225_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/025/SRR17179225/SRR17179225_2.fastq.gz,NA,NA
SRR17179226,PRJNA787062,SAMN23768833,SRS11267488,SRX13362614,244366,Klebsiella variicola,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/026/SRR17179226/SRR17179226_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/026/SRR17179226/SRR17179226_2.fastq.gz,NA,NA
SRR17179232,PRJNA787062,SAMN23768827,SRS11267482,SRX13362608,59814,Pantoea dispersa,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/032/SRR17179232/SRR17179232_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/032/SRR17179232/SRR17179232_2.fastq.gz,NA,NA
SRR17179234,PRJNA787062,SAMN23768826,SRS11267480,SRX13362606,573,Klebsiella pneumoniae,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/034/SRR17179234/SRR17179234_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/034/SRR17179234/SRR17179234_2.fastq.gz,NA,NA
SRR17179237,PRJNA787062,SAMN23768873,SRS11267477,SRX13362603,244366,Klebsiella variicola,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/037/SRR17179237/SRR17179237_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/037/SRR17179237/SRR17179237_2.fastq.gz,NA,NA
SRR17179238,PRJNA787062,SAMN23768690,SRS11267476,SRX13362602,562,Escherichia coli,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/038/SRR17179238/SRR17179238_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/038/SRR17179238/SRR17179238_2.fastq.gz,NA,NA
SRR17179239,PRJNA787062,SAMN23768689,SRS11267475,SRX13362601,562,Escherichia coli,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/039/SRR17179239/SRR17179239_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/039/SRR17179239/SRR17179239_2.fastq.gz,NA,NA
SRR17179244,PRJNA787062,SAMN23768869,SRS11267470,SRX13362596,244366,Klebsiella variicola,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/044/SRR17179244/SRR17179244_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/044/SRR17179244/SRR17179244_2.fastq.gz,NA,NA
SRR17179250,PRJNA787062,SAMN23768864,SRS11267464,SRX13362590,244366,Klebsiella variicola,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/050/SRR17179250/SRR17179250_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/050/SRR17179250/SRR17179250_2.fastq.gz,NA,NA
SRR17179253,PRJNA787062,SAMN23768862,SRS11267461,SRX13362587,244366,Klebsiella variicola,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/053/SRR17179253/SRR17179253_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/053/SRR17179253/SRR17179253_2.fastq.gz,NA,NA
SRR17179261,PRJNA787062,SAMN23768856,SRS11267453,SRX13362579,244366,Klebsiella variicola,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/061/SRR17179261/SRR17179261_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/061/SRR17179261/SRR17179261_2.fastq.gz,NA,NA
SRR17179263,PRJNA787062,SAMN23768637,SRS11267451,SRX13362577,244366,Klebsiella variicola,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/063/SRR17179263/SRR17179263_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/063/SRR17179263/SRR17179263_2.fastq.gz,NA,NA
SRR17179267,PRJNA787062,SAMN23768825,SRS11267447,SRX13362573,244366,Klebsiella variicola,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/067/SRR17179267/SRR17179267_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/067/SRR17179267/SRR17179267_2.fastq.gz,NA,NA
SRR17179273,PRJNA787062,SAMN23768819,SRS11267441,SRX13362567,244366,Klebsiella variicola,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/073/SRR17179273/SRR17179273_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/073/SRR17179273/SRR17179273_2.fastq.gz,NA,NA
SRR17179277,PRJNA787062,SAMN23768816,SRS11267437,SRX13362563,244366,Klebsiella variicola,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/077/SRR17179277/SRR17179277_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/077/SRR17179277/SRR17179277_2.fastq.gz,NA,NA
SRR17179280,PRJNA787062,SAMN23768814,SRS11267434,SRX13362560,54291,Klebsiella ornithinolytica,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/080/SRR17179280/SRR17179280_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/080/SRR17179280/SRR17179280_2.fastq.gz,NA,NA
SRR17179283,PRJNA787062,SAMN23768811,SRS11267431,SRX13362557,550,Enterobacter cloacae,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/083/SRR17179283/SRR17179283_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/083/SRR17179283/SRR17179283_2.fastq.gz,NA,NA
SRR17179285,PRJNA787062,SAMN23768809,SRS11267429,SRX13362555,550,Enterobacter cloacae,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/085/SRR17179285/SRR17179285_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/085/SRR17179285/SRR17179285_2.fastq.gz,NA,NA
SRR17179290,PRJNA787062,SAMN23768806,SRS11267424,SRX13362550,59814,Pantoea dispersa,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/090/SRR17179290/SRR17179290_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/090/SRR17179290/SRR17179290_2.fastq.gz,NA,NA
SRR17179291,PRJNA787062,SAMN23768805,SRS11267422,SRX13362549,59814,Pantoea dispersa,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/091/SRR17179291/SRR17179291_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/091/SRR17179291/SRR17179291_2.fastq.gz,NA,NA
SRR17179292,PRJNA787062,SAMN23768804,SRS11267423,SRX13362548,573,Klebsiella pneumoniae,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/092/SRR17179292/SRR17179292_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/092/SRR17179292/SRR17179292_2.fastq.gz,NA,NA
SRR17179299,PRJNA787062,SAMN23768647,SRS11267415,SRX13362541,562,Escherichia coli,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/099/SRR17179299/SRR17179299_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/099/SRR17179299/SRR17179299_2.fastq.gz,NA,NA
SRR17179300,PRJNA787062,SAMN23768646,SRS11267414,SRX13362540,573,Klebsiella pneumoniae,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/000/SRR17179300/SRR17179300_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/000/SRR17179300/SRR17179300_2.fastq.gz,NA,NA
SRR17179301,PRJNA787062,SAMN23768918,SRS11267412,SRX13362539,573,Klebsiella pneumoniae,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/001/SRR17179301/SRR17179301_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/001/SRR17179301/SRR17179301_2.fastq.gz,NA,NA
SRR17179302,PRJNA787062,SAMN23768645,SRS11267413,SRX13362538,562,Escherichia coli,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/002/SRR17179302/SRR17179302_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/002/SRR17179302/SRR17179302_2.fastq.gz,NA,NA
SRR17179306,PRJNA787062,SAMN23768915,SRS11267408,SRX13362534,573,Klebsiella pneumoniae,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/006/SRR17179306/SRR17179306_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/006/SRR17179306/SRR17179306_2.fastq.gz,NA,NA
SRR17179309,PRJNA787062,SAMN23768912,SRS11267405,SRX13362531,573,Klebsiella pneumoniae,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/009/SRR17179309/SRR17179309_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/009/SRR17179309/SRR17179309_2.fastq.gz,NA,NA
SRR17179310,PRJNA787062,SAMN23768911,SRS11267404,SRX13362530,573,Klebsiella pneumoniae,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/010/SRR17179310/SRR17179310_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/010/SRR17179310/SRR17179310_2.fastq.gz,NA,NA
SRR17179312,PRJNA787062,SAMN23768722,SRS11267402,SRX13362528,573,Klebsiella pneumoniae,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/012/SRR17179312/SRR17179312_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/012/SRR17179312/SRR17179312_2.fastq.gz,NA,NA
SRR17179313,PRJNA787062,SAMN23768697,SRS11267400,SRX13362527,562,Escherichia coli,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/013/SRR17179313/SRR17179313_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/013/SRR17179313/SRR17179313_2.fastq.gz,NA,NA
SRR17179316,PRJNA787062,SAMN23768910,SRS11267399,SRX13362524,573,Klebsiella pneumoniae,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/016/SRR17179316/SRR17179316_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/016/SRR17179316/SRR17179316_2.fastq.gz,NA,NA
SRR17179319,PRJNA787062,SAMN23768908,SRS11267395,SRX13362521,573,Klebsiella pneumoniae,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/019/SRR17179319/SRR17179319_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/019/SRR17179319/SRR17179319_2.fastq.gz,NA,NA
SRR17179325,PRJNA787062,SAMN23768643,SRS11267389,SRX13362515,562,Escherichia coli,ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/025/SRR17179325/SRR17179325_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/025/SRR17179325/SRR17179325_2.fastq.gz,NA,NA
