Genome,Ciprofloxacin,Erythromycin,Fusidic Acid,Gentamicin,Methicillin,Penicillin,Rifampicin,Tetracycline,Trimethoprim,Short Read Archive,BioProject Accession,BioSample Accession,Run Accession,Original Study Accession
C00000784,1,1,0,0,1,1,0,0,-,EBI,PRJNA308283,SAMEA2339835,ERR418318,PRJEB5261
C00000785,1,1,0,0,1,1,0,0,-,EBI,PRJNA308283,SAMEA2339836,ERR418319,PRJEB5261
C00000786,1,1,0,0,1,1,0,0,-,EBI,PRJNA308283,SAMEA2339837,ERR418320,PRJEB5261
C00000787,1,1,0,0,1,1,0,0,-,EBI,PRJNA308283,SAMEA2339838,ERR418321,PRJEB5261
C00000788,1,1,0,0,1,1,0,0,-,EBI,PRJNA308283,SAMEA2339839,ERR418322,PRJEB5261
C00000789,1,1,0,0,1,1,0,0,-,EBI,PRJNA308283,SAMEA2339840,ERR418323,PRJEB5261
C00000790,1,1,0,0,1,1,0,0,-,EBI,PRJNA308283,SAMEA2339841,ERR418324,PRJEB5261
C00000795,1,1,0,0,1,1,0,0,-,EBI,PRJNA308283,SAMEA2339842,ERR418325,PRJEB5261
C00000796,1,1,0,0,1,1,0,0,-,EBI,PRJNA308283,SAMEA2339843,ERR418326,PRJEB5261
C00000799,1,1,0,0,1,1,0,0,-,EBI,PRJNA308283,SAMEA2339844,ERR418327,PRJEB5261
C00000800,1,1,0,0,1,1,0,0,-,EBI,PRJNA308283,SAMEA2339845,ERR418328,PRJEB5261
C00000805,1,1,0,0,1,1,0,0,-,EBI,PRJNA308283,SAMEA2339846,ERR418329,PRJEB5261
C00000806,1,1,0,0,1,1,0,0,-,EBI,PRJNA308283,SAMEA2339847,ERR418330,PRJEB5261
C00000808,1,1,0,0,1,1,0,0,-,EBI,PRJNA308283,SAMEA2339848,ERR418331,PRJEB5261
C00000809,1,1,0,0,1,1,0,0,-,EBI,PRJNA308283,SAMEA2339849,ERR418332,PRJEB5261
C00000814,1,1,1,0,1,1,0,1,-,EBI,PRJNA308283,SAMEA2339850,ERR418333,PRJEB5261
C00000815,1,1,0,0,1,1,0,0,-,EBI,PRJNA308283,SAMEA2339851,ERR418334,PRJEB5261
C00000816,1,1,0,0,1,1,0,0,-,EBI,PRJNA308283,SAMEA2339852,ERR418335,PRJEB5261
C00000817,1,1,0,0,1,1,0,0,-,EBI,PRJNA308283,SAMEA2339853,ERR418336,PRJEB5261
C00000818,1,1,0,0,1,1,0,0,-,EBI,PRJNA308283,SAMEA2339854,ERR418337,PRJEB5261
C00000819,1,1,0,0,1,1,0,0,-,EBI,PRJNA308283,SAMEA2339855,ERR418338,PRJEB5261
C00000820,1,1,0,0,1,1,0,0,-,EBI,PRJNA308283,SAMEA2339856,ERR418339,PRJEB5261
C00000825,1,1,0,0,1,1,0,0,-,EBI,PRJNA308283,SAMEA2339857,ERR418340,PRJEB5261
C00000826,1,1,0,0,1,1,0,0,-,EBI,PRJNA308283,SAMEA2339858,ERR418341,PRJEB5261
C00000827,1,1,0,0,1,1,0,0,-,EBI,PRJNA308283,SAMEA2339859,ERR418342,PRJEB5261
C00000828,1,1,0,0,1,1,0,0,-,EBI,PRJNA308283,SAMEA2339860,ERR418343,PRJEB5261
C00000829,1,1,0,0,1,1,0,0,-,EBI,PRJNA308283,SAMEA2339861,ERR418344,PRJEB5261
C00000830,1,0,0,0,1,1,0,0,-,EBI,PRJNA308283,SAMEA2339862,ERR418345,PRJEB5261
C00000831,1,1,0,0,1,1,0,0,-,EBI,PRJNA308283,SAMEA2339863,ERR418346,PRJEB5261
C00000834,1,1,0,0,1,1,0,0,-,EBI,PRJNA308283,SAMEA2339864,ERR418347,PRJEB5261
C00000835,1,1,0,0,1,1,0,0,-,EBI,PRJNA308283,SAMEA2339865,ERR418348,PRJEB5261
C00000836,1,1,0,0,1,1,0,0,-,EBI,PRJNA308283,SAMEA2339866,ERR418349,PRJEB5261
C00000837,1,0,0,0,1,1,0,0,-,EBI,PRJNA308283,SAMEA2339867,ERR418350,PRJEB5261
C00000838,1,1,0,0,1,1,0,0,-,EBI,PRJNA308283,SAMEA2339868,ERR418351,PRJEB5261
C00000839,1,0,0,0,1,1,0,0,-,EBI,PRJNA308283,SAMEA2339869,ERR418352,PRJEB5261
C00000840,1,1,0,0,1,1,0,0,-,EBI,PRJNA308283,SAMEA2339870,ERR418353,PRJEB5261
C00000845,1,1,0,0,1,1,0,0,-,EBI,PRJNA308283,SAMEA2339871,ERR418354,PRJEB5261
C00000846,1,1,0,0,1,1,0,0,-,EBI,PRJNA308283,SAMEA2339872,ERR418355,PRJEB5261
C00000847,1,1,0,0,1,1,0,0,-,EBI,PRJNA308283,SAMEA2339873,ERR418356,PRJEB5261
C00000848,1,1,0,0,1,1,0,0,-,EBI,PRJNA308283,SAMEA2339874,ERR418357,PRJEB5261
C00000849,1,1,0,0,1,1,0,0,-,EBI,PRJNA308283,SAMEA2339875,ERR418358,PRJEB5261
C00000850,1,1,0,0,1,1,0,0,-,EBI,PRJNA308283,SAMEA2339876,ERR418359,PRJEB5261
C00000851,1,1,0,0,1,1,0,1,-,EBI,PRJNA308283,SAMEA2339877,ERR418360,PRJEB5261
C00000852,1,1,0,0,1,1,0,0,-,EBI,PRJNA308283,SAMEA2339878,ERR418361,PRJEB5261
C00000857,1,1,0,0,1,1,0,0,-,EBI,PRJNA308283,SAMEA2339879,ERR418362,PRJEB5261
C00000858,1,1,0,0,1,1,0,0,-,EBI,PRJNA308283,SAMEA2339880,ERR418363,PRJEB5261
C00000859,1,1,0,0,1,1,0,0,-,EBI,PRJNA308283,SAMEA2339881,ERR418364,PRJEB5261
C00000860,1,1,0,0,1,1,0,0,-,EBI,PRJNA308283,SAMEA2339882,ERR418365,PRJEB5261
C00000861,1,1,0,0,1,1,0,0,-,EBI,PRJNA308283,SAMEA2339883,ERR418366,PRJEB5261
C00000862,1,1,0,0,1,1,0,0,-,EBI,PRJNA308283,SAMEA2339884,ERR418367,PRJEB5261
C00000863,1,1,0,0,1,1,0,0,-,EBI,PRJNA308283,SAMEA2339885,ERR418368,PRJEB5261
C00000864,1,1,0,0,1,1,0,0,-,EBI,PRJNA308283,SAMEA2339886,ERR418369,PRJEB5261
C00001384,1,1,0,0,1,1,0,0,-,EBI,PRJNA308283,SAMEA2339887,ERR418370,PRJEB5261
C00001385,1,1,0,0,1,1,1,0,-,EBI,PRJNA308283,SAMEA2339888,ERR418371,PRJEB5261
C00001386,1,1,0,0,1,1,0,0,-,EBI,PRJNA308283,SAMEA2339889,ERR418372,PRJEB5261
C00001387,0,0,0,0,0,1,0,0,-,EBI,PRJNA308283,SAMEA2339890,ERR418373,PRJEB5261
C00001388,1,0,0,0,1,1,0,0,-,EBI,PRJNA308283,SAMEA2339891,ERR418374,PRJEB5261
C00001389,1,1,0,0,1,1,0,0,-,EBI,PRJNA308283,SAMEA2339892,ERR418375,PRJEB5261
C00001390,1,1,0,0,1,1,0,0,-,EBI,PRJNA308283,SAMEA2339893,ERR418376,PRJEB5261
C00001397,1,1,0,0,1,1,0,0,-,EBI,PRJNA308283,SAMEA2339894,ERR418377,PRJEB5261
C00001399,1,0,0,0,1,1,0,0,-,EBI,PRJNA308283,SAMEA2339895,ERR418378,PRJEB5261
C00001400,0,0,0,0,1,1,0,0,-,EBI,PRJNA308283,SAMEA2339896,ERR418379,PRJEB5261
C00001401,1,1,0,0,1,1,0,0,-,EBI,PRJNA308283,SAMEA2339897,ERR418380,PRJEB5261
C00001402,1,1,0,1,1,1,0,0,-,EBI,PRJNA308283,SAMEA2339898,ERR418381,PRJEB5261
C00001404,1,1,0,0,1,1,0,0,-,EBI,PRJNA308283,SAMEA2339899,ERR418382,PRJEB5261
C00001405,1,1,0,1,1,1,0,0,-,EBI,PRJNA308283,SAMEA2339900,ERR418383,PRJEB5261
C00001406,1,1,0,0,1,1,0,0,-,EBI,PRJNA308283,SAMEA2339901,ERR418384,PRJEB5261
C00001440,1,0,0,0,0,1,0,0,-,EBI,PRJNA308283,SAMEA2339902,ERR418385,PRJEB5261
C00001441,0,0,0,0,0,1,0,0,-,EBI,PRJNA308283,SAMEA2339903,ERR418386,PRJEB5261
C00001442,1,0,0,0,0,1,0,0,-,EBI,PRJNA308283,SAMEA2339904,ERR418387,PRJEB5261
C00001443,1,0,0,0,0,1,0,0,-,EBI,PRJNA308283,SAMEA2339905,ERR418388,PRJEB5261
C00001445,0,0,0,0,0,0,0,0,-,EBI,PRJNA308283,SAMEA2339906,ERR418389,PRJEB5261
C00001446,0,0,0,0,0,1,0,0,-,EBI,PRJNA308283,SAMEA2339907,ERR418390,PRJEB5261
C00001447,0,0,0,0,0,0,0,0,-,EBI,PRJNA308283,SAMEA2339908,ERR418391,PRJEB5261
C00001448,0,0,0,0,0,1,0,0,-,EBI,PRJNA308283,SAMEA2339909,ERR418392,PRJEB5261
C00001449,0,0,0,0,0,1,0,0,-,EBI,PRJNA308283,SAMEA2339910,ERR418393,PRJEB5261
C00001451,0,0,0,0,0,1,0,0,-,EBI,PRJNA308283,SAMEA2339911,ERR418394,PRJEB5261
C00001452,0,0,0,0,0,1,0,0,-,EBI,PRJNA308283,SAMEA2339912,ERR418395,PRJEB5261
C00001453,0,0,0,0,0,1,0,0,-,EBI,PRJNA308283,SAMEA2339913,ERR418396,PRJEB5261
C00002649,0,0,0,0,0,1,0,0,-,EBI,PRJNA308283,SAMEA2339914,ERR418397,PRJEB5261
C00002652,0,0,0,0,0,1,0,0,-,EBI,PRJNA308283,SAMEA2339915,ERR418398,PRJEB5261
C00002653,0,0,0,0,0,1,0,0,-,EBI,PRJNA308283,SAMEA2339916,ERR418399,PRJEB5261
C00002655,0,0,0,0,0,1,0,0,-,EBI,PRJNA308283,SAMEA2339917,ERR418400,PRJEB5261
C00002656,0,0,0,0,0,1,0,0,-,EBI,PRJNA308283,SAMEA2339918,ERR418401,PRJEB5261
C00002657,0,0,0,0,0,1,0,0,-,EBI,PRJNA308283,SAMEA2339919,ERR418402,PRJEB5261
C00002658,0,0,0,0,0,1,0,0,-,EBI,PRJNA308283,SAMEA2339920,ERR418403,PRJEB5261
C00002661,0,0,0,0,0,1,0,0,-,EBI,PRJNA308283,SAMEA2339921,ERR418404,PRJEB5261
C00002662,0,0,0,0,0,1,0,0,-,EBI,PRJNA308283,SAMEA2339922,ERR418405,PRJEB5261
C00003083,0,0,0,0,0,1,0,0,0,EBI,PRJNA308283,SAMEA2339923,ERR418406,PRJEB5261
C00003084,0,0,0,0,0,1,0,0,0,EBI,PRJNA308283,SAMEA2339924,ERR418407,PRJEB5261
C00003085,0,0,0,0,0,0,0,0,0,EBI,PRJNA308283,SAMEA2339925,ERR418408,PRJEB5261
C00003086,1,1,0,0,0,1,0,0,0,EBI,PRJNA308283,SAMEA2339926,ERR418409,PRJEB5261
C00003087,0,0,0,0,0,0,0,0,0,EBI,PRJNA308283,SAMEA2339927,ERR418410,PRJEB5261
C00003088,0,0,0,0,0,1,0,0,0,EBI,PRJNA308283,SAMEA2339928,ERR418411,PRJEB5261
C00003089,0,1,0,0,0,1,0,0,0,EBI,PRJNA308283,SAMEA2339929,ERR418412,PRJEB5261
C00003090,0,0,0,0,0,1,0,0,0,EBI,PRJNA308283,SAMEA2339930,ERR418413,PRJEB5261
C00003091,0,0,0,0,0,1,0,0,0,EBI,PRJNA308283,SAMEA2339931,ERR418414,PRJEB5261
C00003092,0,0,0,0,0,1,0,0,0,EBI,PRJNA308283,SAMEA2339932,ERR418415,PRJEB5261
C00003093,1,1,0,0,1,1,0,0,0,EBI,PRJNA308283,SAMEA2339933,ERR418416,PRJEB5261
C00003095,0,0,0,0,0,0,0,0,0,EBI,PRJNA308283,SAMEA2339934,ERR418417,PRJEB5261
C00003096,1,1,0,0,1,1,0,0,0,EBI,PRJNA308283,SAMEA2339935,ERR418418,PRJEB5261
C00003098,0,0,0,0,0,0,0,0,0,EBI,PRJNA308283,SAMEA2339936,ERR418419,PRJEB5261
C00003099,0,0,0,0,0,0,0,0,0,EBI,PRJNA308283,SAMEA2339937,ERR418420,PRJEB5261
C00003100,1,0,0,0,1,1,0,0,0,EBI,PRJNA308283,SAMEA2339938,ERR418421,PRJEB5261
C00003101,0,0,0,0,0,1,0,0,0,EBI,PRJNA308283,SAMEA2339939,ERR418422,PRJEB5261
C00003102,0,0,0,0,0,0,0,0,0,EBI,PRJNA308283,SAMEA2339940,ERR418423,PRJEB5261
C00003103,1,0,0,0,1,1,0,0,0,EBI,PRJNA308283,SAMEA2339941,ERR418424,PRJEB5261
C00003104,1,1,0,1,1,1,0,0,0,EBI,PRJNA308283,SAMEA2339942,ERR418425,PRJEB5261
C00003106,0,0,0,0,0,1,0,0,0,EBI,PRJNA308283,SAMEA2339943,ERR418426,PRJEB5261
C00003107,0,0,0,0,0,1,0,0,1,EBI,PRJNA308283,SAMEA2339944,ERR418427,PRJEB5261
C00003108,0,0,0,0,0,1,0,0,0,EBI,PRJNA308283,SAMEA2339945,ERR418428,PRJEB5261
C00003109,0,0,0,0,0,1,0,0,0,EBI,PRJNA308283,SAMEA2339946,ERR418429,PRJEB5261
C00003110,0,0,0,0,0,1,0,0,0,EBI,PRJNA308283,SAMEA2339947,ERR418430,PRJEB5261
C00003111,1,1,1,0,1,1,0,0,0,EBI,PRJNA308283,SAMEA2339948,ERR418431,PRJEB5261
C00003112,0,0,0,0,0,1,0,0,0,EBI,PRJNA308283,SAMEA2339949,ERR418432,PRJEB5261
C00003113,0,0,0,0,0,0,0,0,0,EBI,PRJNA308283,SAMEA2339950,ERR418433,PRJEB5261
C00003114,0,0,1,0,0,1,0,1,0,EBI,PRJNA308283,SAMEA2339951,ERR418434,PRJEB5261
C00003115,1,0,0,0,1,1,1,0,0,EBI,PRJNA308283,SAMEA2339952,ERR418435,PRJEB5261
C00003116,0,0,0,0,0,1,0,0,0,EBI,PRJNA308283,SAMEA2339953,ERR418436,PRJEB5261
C00003118,0,0,0,1,0,0,0,0,0,EBI,PRJNA308283,SAMEA2339954,ERR418437,PRJEB5261
C00003119,0,0,0,0,0,1,0,0,0,EBI,PRJNA308283,SAMEA2339955,ERR418438,PRJEB5261
C00003120,0,0,1,0,0,1,0,0,0,EBI,PRJNA308283,SAMEA2339956,ERR418439,PRJEB5261
C00003121,0,0,0,0,0,0,0,0,0,EBI,PRJNA308283,SAMEA2339957,ERR418440,PRJEB5261
C00003122,0,0,0,0,0,1,0,0,0,EBI,PRJNA308283,SAMEA2339958,ERR418441,PRJEB5261
C00003124,0,0,0,0,0,1,0,0,0,EBI,PRJNA308283,SAMEA2339959,ERR418442,PRJEB5261
C00003125,1,1,0,0,1,1,0,0,0,EBI,PRJNA308283,SAMEA2339960,ERR418443,PRJEB5261
C00003126,0,0,0,0,0,1,0,0,0,EBI,PRJNA308283,SAMEA2339961,ERR418444,PRJEB5261
C00003127,1,0,0,0,0,1,0,0,0,EBI,PRJNA308283,SAMEA2339962,ERR418445,PRJEB5261
C00003128,0,0,1,0,0,1,0,0,0,EBI,PRJNA308283,SAMEA2339963,ERR418446,PRJEB5261
C00003129,0,0,0,0,0,1,0,0,0,EBI,PRJNA308283,SAMEA2339964,ERR418447,PRJEB5261
C00003130,1,0,1,0,0,1,1,0,0,EBI,PRJNA308283,SAMEA2339965,ERR418448,PRJEB5261
C00003131,0,0,0,0,0,0,0,1,0,EBI,PRJNA308283,SAMEA2339966,ERR418449,PRJEB5261
C00003132,1,0,0,0,1,1,0,0,0,EBI,PRJNA308283,SAMEA2339967,ERR418450,PRJEB5261
C00003133,1,0,0,0,1,1,0,0,0,EBI,PRJNA308283,SAMEA2339968,ERR418451,PRJEB5261
C00003134,0,0,0,0,0,1,0,0,0,EBI,PRJNA308283,SAMEA2339969,ERR418452,PRJEB5261
C00003135,0,0,1,0,0,1,0,1,0,EBI,PRJNA308283,SAMEA2339970,ERR418453,PRJEB5261
C00003136,0,0,0,0,0,1,0,0,0,EBI,PRJNA308283,SAMEA2339971,ERR418454,PRJEB5261
C00003137,1,0,0,0,1,1,0,0,0,EBI,PRJNA308283,SAMEA2339972,ERR418455,PRJEB5261
C00003138,0,0,0,0,0,1,0,0,0,EBI,PRJNA308283,SAMEA2339973,ERR418456,PRJEB5261
C00003139,0,0,0,0,0,1,0,0,0,EBI,PRJNA308283,SAMEA2339974,ERR418457,PRJEB5261
C00003140,0,0,0,0,0,1,0,0,0,EBI,PRJNA308283,SAMEA2339975,ERR418458,PRJEB5261
C00003141,0,0,1,0,0,1,0,1,0,EBI,PRJNA308283,SAMEA2339976,ERR418459,PRJEB5261
C00003142,1,1,0,0,1,1,0,0,0,EBI,PRJNA308283,SAMEA2339977,ERR418460,PRJEB5261
C00003143,0,0,0,0,0,1,0,0,0,EBI,PRJNA308283,SAMEA2339978,ERR418461,PRJEB5261
C00003144,0,0,0,0,0,0,0,0,0,EBI,PRJNA308283,SAMEA2339979,ERR418462,PRJEB5261
C00003145,0,0,0,0,0,0,0,0,0,EBI,PRJNA308283,SAMEA2339980,ERR418463,PRJEB5261
C00003147,0,0,0,0,0,1,0,0,0,EBI,PRJNA308283,SAMEA2339981,ERR418464,PRJEB5261
C00003148,0,0,0,0,0,1,0,0,0,EBI,PRJNA308283,SAMEA2339982,ERR418465,PRJEB5261
C00003149,1,0,0,0,1,1,0,0,0,EBI,PRJNA308283,SAMEA2339983,ERR418466,PRJEB5261
C00003150,0,0,0,0,0,1,0,0,0,EBI,PRJNA308283,SAMEA2339984,ERR418467,PRJEB5261
C00003151,1,1,1,0,1,1,0,0,1,EBI,PRJNA308283,SAMEA2339985,ERR418468,PRJEB5261
C00003152,0,1,0,0,0,1,0,0,0,EBI,PRJNA308283,SAMEA2339986,ERR418469,PRJEB5261
C00003153,0,0,0,0,0,1,0,0,0,EBI,PRJNA308283,SAMEA2339987,ERR418470,PRJEB5261
C00003154,1,1,0,0,1,1,0,0,0,EBI,PRJNA308283,SAMEA2339988,ERR418471,PRJEB5261
C00003155,1,1,0,0,1,1,0,0,0,EBI,PRJNA308283,SAMEA2339989,ERR418472,PRJEB5261
C00003156,0,0,0,0,0,1,0,0,0,EBI,PRJNA308283,SAMEA2339990,ERR418473,PRJEB5261
C00003158,0,0,0,0,0,1,0,0,0,EBI,PRJNA308283,SAMEA2339991,ERR418474,PRJEB5261
C00003159,0,0,0,0,0,1,0,0,0,EBI,PRJNA308283,SAMEA2339992,ERR418475,PRJEB5261
C00003160,0,0,0,0,0,1,0,0,0,EBI,PRJNA308283,SAMEA2339993,ERR418476,PRJEB5261
C00003161,0,0,0,1,0,0,0,0,0,EBI,PRJNA308283,SAMEA2339994,ERR418477,PRJEB5261
C00003162,0,0,0,0,0,1,0,0,0,EBI,PRJNA308283,SAMEA2339995,ERR418478,PRJEB5261
C00003163,0,0,1,0,0,1,0,0,0,EBI,PRJNA308283,SAMEA2339996,ERR418479,PRJEB5261
C00003164,0,0,0,0,0,1,0,0,0,EBI,PRJNA308283,SAMEA2339997,ERR418480,PRJEB5261
C00003165,0,0,0,0,0,1,0,0,0,EBI,PRJNA308283,SAMEA2339998,ERR418481,PRJEB5261
C00003166,0,0,0,0,1,1,0,0,0,EBI,PRJNA308283,SAMEA2339999,ERR418482,PRJEB5261
C00003167,0,0,0,0,0,0,0,0,0,EBI,PRJNA308283,SAMEA2340000,ERR418483,PRJEB5261
C00003168,1,0,0,0,0,1,0,0,0,EBI,PRJNA308283,SAMEA2340001,ERR418484,PRJEB5261
C00003169,0,0,0,0,0,1,0,0,0,EBI,PRJNA308283,SAMEA2340002,ERR418485,PRJEB5261
C00003170,1,1,0,0,0,1,0,0,0,EBI,PRJNA308283,SAMEA2340003,ERR418486,PRJEB5261
C00003171,0,0,0,0,0,1,0,0,0,EBI,PRJNA308283,SAMEA2340004,ERR418487,PRJEB5261
C00003172,0,0,0,0,0,1,0,0,0,EBI,PRJNA308283,SAMEA2340005,ERR418488,PRJEB5261
C00003173,0,0,0,0,0,1,0,0,0,EBI,PRJNA308283,SAMEA2340006,ERR418489,PRJEB5261
C00003174,1,1,1,0,1,1,0,0,0,EBI,PRJNA308283,SAMEA2340007,ERR418490,PRJEB5261
C00003175,1,0,0,0,0,1,0,0,0,EBI,PRJNA308283,SAMEA2340008,ERR418491,PRJEB5261
C00003176,0,0,0,0,0,1,0,0,0,EBI,PRJNA308283,SAMEA2340009,ERR418492,PRJEB5261
C00003177,0,0,0,0,0,0,0,0,0,EBI,PRJNA308283,SAMEA2340010,ERR418493,PRJEB5261
C00003178,0,0,0,0,0,1,0,0,0,EBI,PRJNA308283,SAMEA2340011,ERR418494,PRJEB5261
C00003179,0,0,0,0,0,1,0,0,0,EBI,PRJNA308283,SAMEA2340012,ERR418495,PRJEB5261
C00003180,0,0,0,0,0,1,0,0,0,EBI,PRJNA308283,SAMEA2340013,ERR418496,PRJEB5261
C00003181,0,0,0,0,0,0,0,0,0,EBI,PRJNA308283,SAMEA2340014,ERR418497,PRJEB5261
C00003182,1,1,0,0,1,1,0,0,0,EBI,PRJNA308283,SAMEA2340015,ERR418498,PRJEB5261
C00003183,1,0,0,0,1,1,0,0,0,EBI,PRJNA308283,SAMEA2340016,ERR418499,PRJEB5261
C00003184,0,0,0,0,0,1,0,0,0,EBI,PRJNA308283,SAMEA2340017,ERR418500,PRJEB5261
C00003185,0,0,0,0,0,0,0,0,0,EBI,PRJNA308283,SAMEA2340018,ERR418501,PRJEB5261
C00003186,0,0,1,0,0,1,0,1,0,EBI,PRJNA308283,SAMEA2340019,ERR418502,PRJEB5261
C00003187,1,1,0,0,1,1,0,0,0,EBI,PRJNA308283,SAMEA2340020,ERR418503,PRJEB5261
C00003188,0,0,0,0,0,1,0,0,0,EBI,PRJNA308283,SAMEA2340021,ERR418504,PRJEB5261
C00003189,1,1,0,0,1,1,0,1,0,EBI,PRJNA308283,SAMEA2340022,ERR418505,PRJEB5261
C00003190,0,1,0,0,0,1,0,0,0,EBI,PRJNA308283,SAMEA2340023,ERR418506,PRJEB5261
C00003191,1,0,0,0,1,1,0,0,0,EBI,PRJNA308283,SAMEA2340024,ERR418507,PRJEB5261
C00003192,0,0,0,0,0,1,0,0,0,EBI,PRJNA308283,SAMEA2340025,ERR418508,PRJEB5261
C00003193,1,1,0,0,1,1,0,0,0,EBI,PRJNA308283,SAMEA2340026,ERR418509,PRJEB5261
C00003194,0,0,0,0,0,1,0,0,0,EBI,PRJNA308283,SAMEA2340027,ERR418510,PRJEB5261
C00003195,0,0,0,0,0,1,0,0,0,EBI,PRJNA308283,SAMEA2340028,ERR418511,PRJEB5261
C00003196,0,0,0,0,0,0,0,0,0,EBI,PRJNA308283,SAMEA2340029,ERR418512,PRJEB5261
C00003197,0,0,0,0,0,1,0,0,0,EBI,PRJNA308283,SAMEA2340030,ERR418513,PRJEB5261
