sample,ERR Number,broth_conc_AMP,broth_symbol_AMP,disk_zone_AMP,agar_conc_AMP,agar_symbol_AMP,broth_conc_CHL,broth_symbol_CHL,disk_zone_CHL,agar_conc_CHL,agar_symbol_CHL,broth_conc_CIP,broth_symbol_CIP,disk_zone_CIP,agar_conc_CIP,agar_symbol_CIP,broth_conc_GEN,broth_symbol_GEN,disk_zone_GEN,agar_conc_GEN,agar_symbol_GEN,broth_conc_NAL,broth_symbol_NAL,disk_zone_NAL,agar_conc_NAL,agar_symbol_NAL,broth_conc_STR,broth_symbol_STR,disk_zone_STR,agar_conc_STR,agar_symbol_STR,broth_conc_SMX,broth_symbol_SMX,disk_zone_SMX,agar_conc_SMX,agar_symbol_SMX,broth_conc_SXT,broth_symbol_SXT,disk_zone_SXT,agar_conc_SXT,agar_symbol_SXT,broth_conc_SUL,broth_symbol_SUL,disk_zone_SUL,agar_conc_SUL,agar_symbol_SUL,broth_conc_TET,broth_symbol_TET,disk_zone_TET,agar_conc_TET,agar_symbol_TET,broth_conc_TRI,broth_symbol_TRI,disk_zone_TRI,agar_conc_TRI,agar_symbol_TRI
L00005-10,ERR1251727,64,>,0,128,>,128,#ERROR!,0,16,#ERROR!,0.03,#ERROR!,NA,NA,NA,0.5,<=,28.41661,0.125,#ERROR!,4,<=,30.6025,2,#ERROR!,64,#ERROR!,14.36444,4,#ERROR!,1024,>,0,512,>,4,>,0,8,#ERROR!,256,>,NA,NA,NA,4,<=,NA,NA,NA,32,>,NA,NA,NA
L00427-10,ERR1251734,64,>,0,128,>,8,<=,31.85158,1,#ERROR!,0.03,#ERROR!,NA,NA,NA,0.5,<=,27.4798,0.125,#ERROR!,8,#ERROR!,26.85526,2,#ERROR!,32,#ERROR!,11.55401,4,#ERROR!,1024,>,0,512,>,4,>,0,1,#ERROR!,256,>,NA,NA,NA,32,>,NA,NA,NA,32,>,NA,NA,NA
L00461-07,ERR1251774,64,>,0,128,>,128,>,0,64,#ERROR!,0.25,#ERROR!,NA,NA,NA,0.5,<=,27.1675,0.125,#ERROR!,128,>,0,128,>,64,#ERROR!,0,32,#ERROR!,1024,>,0,512,>,0.25,#ERROR!,33.4129,0.03,#ERROR!,256,>,NA,NA,NA,32,>,NA,NA,NA,0.25,<=,NA,NA,NA
L00738-11,ERR1251716,2,#ERROR!,30.6025,0.25,<=,8,<=,32.7884,1,#ERROR!,0.5,#ERROR!,NA,NA,NA,0.5,<=,25.6062,0.25,#ERROR!,128,>,0,128,>,16,#ERROR!,15.6135,4,#ERROR!,64,#ERROR!,28.4166,64,#ERROR!,0.12,<=,36.8479,0.03,#ERROR!,256,>,NA,NA,NA,4,<=,NA,NA,NA,0.25,<=,NA,NA,NA
L00746-11,ERR1251718,2,#ERROR!,32.1639,0.25,<=,64,#ERROR!,13.4276,16,#ERROR!,0.03,#ERROR!,NA,NA,NA,32,#ERROR!,11.8663,32,#ERROR!,4,<=,29.0411,2,#ERROR!,32,#ERROR!,14.0522,4,#ERROR!,1024,>,0,512,>,4,>,0,16,#ERROR!,256,>,NA,NA,NA,4,<=,NA,NA,NA,32,>,NA,NA,NA
L00777-11,ERR1251785,1,<=,34.3497,0.25,<=,8,<=,30.6025,1,#ERROR!,0.03,#ERROR!,NA,NA,NA,1,#ERROR!,28.1043,0.125,#ERROR!,4,<=,27.4798,1,<=,16,#ERROR!,15.9258,2,#ERROR!,64,#ERROR!,20.6098,64,#ERROR!,0.12,<=,37.7847,0.03,#ERROR!,128,#ERROR!,NA,NA,NA,4,<=,NA,NA,NA,0.25,<=,NA,NA,NA
L00886-06,ERR1251793,1,<=,29.041,0.25,<=,8,<=,30.2923,0.5,#ERROR!,0.03,#ERROR!,NA,NA,NA,0.5,<=,26.85526,0.125,#ERROR!,4,<=,24.798,2,#ERROR!,16,#ERROR!,17.48714,2,#ERROR!,64,#ERROR!,25.2939,32,<=,0.12,<=,34.34975,0.03,#ERROR!,256,>,NA,NA,NA,4,<=,NA,NA,NA,0.5,#ERROR!,NA,NA,NA
L00911-05,ERR1251692,1,<=,34.66202,0.5,#ERROR!,8,<=,32.47612,1,#ERROR!,0.03,#ERROR!,NA,NA,NA,0.5,<=,28.41661,0.125,#ERROR!,4,<=,28.10434,2,#ERROR!,8,#ERROR!,19.0485,2,#ERROR!,32,#ERROR!,22.48347,32,<=,0.12,<=,34.97429,0.03,#ERROR!,32,#ERROR!,NA,NA,NA,32,>,NA,NA,NA,0.25,<=,NA,NA,NA
L01077-08,ERR1251693,2,#ERROR!,32.7884,0.5,#ERROR!,8,<=,31.8516,1,#ERROR!,0.03,#ERROR!,NA,NA,NA,0.5,<=,27.4798,0.125,#ERROR!,4,<=,29.6657,2,#ERROR!,8,#ERROR!,17.4871,2,#ERROR!,1024,>,0,512,>,4,>,0,16,#ERROR!,256,>,NA,NA,NA,32,>,NA,NA,NA,32,>,NA,NA,NA
L01210-11,ERR1251700,2,#ERROR!,35.9111,0.5,#ERROR!,64,#ERROR!,10.6172,16,#ERROR!,0.03,#ERROR!,NA,NA,NA,0.5,<=,26.8553,0.25,#ERROR!,4,<=,27.1675,2,#ERROR!,64,>,0,256,#ERROR!,1024,>,0,512,>,4,>,0,16,#ERROR!,256,>,NA,NA,NA,32,>,NA,NA,NA,32,>,NA,NA,NA
L01443-09,ERR1251696,1,<=,31.5393,0.25,<=,8,<=,34.3497,0.5,#ERROR!,0.03,#ERROR!,NA,NA,NA,0.5,<=,25.9184,0.125,#ERROR!,4,<=,30.2902,2,#ERROR!,16,#ERROR!,14.6767,4,#ERROR!,8,<=,34.0375,32,<=,0.12,<=,45.9038,0.03,#ERROR!,16,<=,NA,NA,NA,4,<=,NA,NA,NA,0.25,<=,NA,NA,NA
L02428-05,ERR1251673,1,<=,32.47612,0.25,<=,8,<=,33.41294,1,#ERROR!,0.015,<=,NA,NA,NA,4,#ERROR!,21.54666,1,#ERROR!,4,<=,28.10434,2,#ERROR!,64,>,0,16,#ERROR!,64,#ERROR!,24.35709,64,#ERROR!,0.12,<=,38.09699,0.03,#ERROR!,256,#ERROR!,NA,NA,NA,4,<=,NA,NA,NA,0.5,#ERROR!,NA,NA,NA
S00039-03,ERR1251674,64,>,0,128,>,128,#ERROR!,12.1785,8,#ERROR!,0.03,#ERROR!,NA,NA,NA,0.5,<=,26.543,0.25,#ERROR!,4,<=,28.1043,2,#ERROR!,64,>,13.1154,4,<=,1024,>,0,512,>,4,>,0,32,#ERROR!,256,>,NA,NA,NA,4,<=,NA,NA,NA,32,>,NA,NA,NA
S00083-08,ERR1251685,64,>,0,128,>,64,#ERROR!,10.30492,32,#ERROR!,0.03,#ERROR!,NA,NA,NA,0.5,<=,26.85526,0.5,#ERROR!,4,<=,26.85526,2,#ERROR!,64,>,0,256,>,1024,>,0,512,>,4,>,0,4,#ERROR!,256,>,NA,NA,NA,32,>,NA,NA,NA,32,>,NA,NA,NA
S00285-01,ERR1251683,64,>,0,128,>,128,>,0,64,#ERROR!,0.03,#ERROR!,NA,NA,NA,0.5,<=,27.4798,0.25,#ERROR!,4,<=,29.35342,2,#ERROR!,64,#ERROR!,0,16,<=,1024,>,0,512,>,0.25,#ERROR!,32.16385,32,#ERROR!,256,>,NA,NA,NA,32,>,NA,NA,NA,0.25,<=,NA,NA,NA
S00399-10,ERR1251654,2,#ERROR!,29.35342,0.5,#ERROR!,8,<=,31.53931,1,#ERROR!,0.03,#ERROR!,NA,NA,NA,0.5,<=,26.85526,0.125,#ERROR!,4,<=,27.16753,2,#ERROR!,8,#ERROR!,19.0485,2,#ERROR!,64,#ERROR!,25.2939,64,#ERROR!,0.12,<=,35.59883,0.03,#ERROR!,256,>,NA,NA,NA,4,<=,NA,NA,NA,0.25,<=,NA,NA,NA
S00430-01,ERR1251667,64,>,0,128,>,128,>,11.24174,64,#ERROR!,0.25,#ERROR!,NA,NA,NA,0.5,<=,26.23072,0.25,#ERROR!,128,>,0,128,>,64,>,0,16,<=,1024,>,0,512,>,0.25,#ERROR!,34.66202,0.03,#ERROR!,256,>,NA,NA,NA,32,#ERROR!,NA,NA,NA,0.25,<=,NA,NA,NA
S00454-11,ERR1251661,2,#ERROR!,30.9148,0.25,<=,8,<=,33.7252,0.5,#ERROR!,0.03,#ERROR!,NA,NA,NA,0.5,<=,27.7921,0.25,#ERROR!,8,#ERROR!,24.9816,2,#ERROR!,16,#ERROR!,13.7399,2,#ERROR!,32,#ERROR!,27.4798,64,#ERROR!,0.12,<=,38.4093,0.03,#ERROR!,32,#ERROR!,NA,NA,NA,4,<=,NA,NA,NA,0.5,#ERROR!,NA,NA,NA
S00478-13,ERR1251670,64,>,0,0.25,<=,8,<=,31.5393,0.5,#ERROR!,0.015,<=,NA,NA,NA,8,#ERROR!,15.6135,0.125,#ERROR!,4,<=,32.4761,1,<=,64,>,0,4,#ERROR!,1024,>,0,512,>,0.12,<=,34.662,0.03,#ERROR!,256,>,NA,NA,NA,32,>,NA,NA,NA,0.25,<=,NA,NA,NA
S00795-02,ERR1251669,64,>,0,128,>,128,#ERROR!,11.55401,8,#ERROR!,0.03,#ERROR!,NA,NA,NA,0.5,<=,29.97796,0.25,#ERROR!,4,<=,29.66569,2,#ERROR!,16,#ERROR!,11.86628,64,<=,1024,>,0,512,>,4,>,0,32,#ERROR!,256,>,NA,NA,NA,4,<=,NA,NA,NA,32,>,NA,NA,NA
S01117-00,ERR1251639,64,>,0,128,>,128,>,31.22704,2,#ERROR!,0.25,#ERROR!,NA,NA,NA,0.5,<=,25.91845,0.25,#ERROR!,128,>,28.10434,2,#ERROR!,64,#ERROR!,16.55033,2,<=,1024,>,0,512,>,0.25,#ERROR!,31.53931,0.03,#ERROR!,256,>,NA,NA,NA,32,#ERROR!,NA,NA,NA,0.25,<=,NA,NA,NA
S01119-14,ERR1251641,64,>,0,128,>,128,#ERROR!,10.9295,16,#ERROR!,0.03,#ERROR!,NA,NA,NA,0.5,<=,27.1675,0.25,#ERROR!,4,<=,29.0411,1,<=,32,#ERROR!,0,8,#ERROR!,1024,>,0,512,>,4,>,0,16,#ERROR!,256,>,NA,NA,NA,4,<=,NA,NA,NA,32,>,NA,NA,NA
S01131-99,ERR1251647,64,>,0,128,>,128,>,0,128,>,0.06,#ERROR!,NA,NA,NA,0.5,<=,27.79207,0.125,#ERROR!,8,#ERROR!,24.04482,4,#ERROR!,64,>,0,16,#ERROR!,1024,>,0,512,>,4,>,0,32,#ERROR!,256,>,NA,NA,NA,32,>,NA,NA,NA,32,>,NA,NA,NA
S01145-94,ERR1251618,1,<=,36.2234,0.25,<=,8,<=,35.2866,1,#ERROR!,0.015,<=,NA,NA,NA,0.5,<=,31.5393,0.125,#ERROR!,4,<=,28.7289,2,#ERROR!,8,#ERROR!,16.8626,2,#ERROR!,8,<=,47.4651,32,<=,0.12,<=,47.1528,16,#ERROR!,16,<=,NA,NA,NA,4,<=,NA,NA,NA,0.25,<=,NA,NA,NA
S01194-08,ERR1251627,64,>,0,128,>,8,<=,34.662,1,#ERROR!,0.5,#ERROR!,NA,NA,NA,0.5,<=,27.7921,0.125,#ERROR!,128,>,0,128,>,16,#ERROR!,16.5503,2,#ERROR!,1024,>,0,512,>,4,>,0,16,#ERROR!,256,>,NA,NA,NA,32,>,NA,NA,NA,32,>,NA,NA,NA
S01566-00,ERR1251620,64,>,0,128,>,128,>,0,128,>,1,#ERROR!,NA,NA,NA,0.5,<=,27.16753,0.125,#ERROR!,128,>,0,128,>,64,#ERROR!,0,0.25,#ERROR!,1024,>,0,512,>,4,>,0,32,#ERROR!,256,>,NA,NA,NA,32,>,NA,NA,NA,32,>,NA,NA,NA
S01591-98,ERR1251623,2,#ERROR!,30.29023,0.5,#ERROR!,8,<=,32.47612,1,#ERROR!,0.03,#ERROR!,NA,NA,NA,0.5,<=,27.79207,0.25,#ERROR!,4,<=,24.98163,64,#ERROR!,16,#ERROR!,18.42396,2,<=,8,<=,35.9111,32,<=,0.12,<=,36.22337,0.03,#ERROR!,16,<=,NA,NA,NA,4,<=,NA,NA,NA,0.25,<=,NA,NA,NA
S01710-04,ERR1251625,64,>,0,128,>,8,<=,30.91477,0.5,#ERROR!,0.015,<=,NA,NA,NA,32,#ERROR!,10.61719,32,#ERROR!,4,<=,28.72888,1,<=,32,#ERROR!,11.24174,8,#ERROR!,32,#ERROR!,27.79201,32,<=,0.5,#ERROR!,15.92579,0.25,#ERROR!,256,>,NA,NA,NA,4,<=,NA,NA,NA,32,>,NA,NA,NA
S01727-11,ERR1251629,2,#ERROR!,30.6025,0.25,<=,8,<=,33.7252,0.5,#ERROR!,0.25,#ERROR!,NA,NA,NA,0.5,<=,28.7289,0.25,#ERROR!,128,>,0,128,>,8,#ERROR!,16.2381,4,#ERROR!,32,#ERROR!,33.1007,64,#ERROR!,0.12,<=,38.4093,0.03,#ERROR!,32,#ERROR!,NA,NA,NA,4,<=,NA,NA,NA,0.25,<=,NA,NA,NA
S01727-98,ERR1251604,64,>,0,128,>,128,>,0,32,#ERROR!,0.03,#ERROR!,NA,NA,NA,0.5,<=,26.23072,0.25,#ERROR!,4,<=,29.66569,2,#ERROR!,64,#ERROR!,0,16,<=,1024,>,0,512,>,0.25,#ERROR!,32.78839,0.03,#ERROR!,256,>,NA,NA,NA,32,>,NA,NA,NA,0.25,<=,NA,NA,NA
S01761-00,ERR1251596,64,>,0,128,>,128,>,0,64,#ERROR!,0.03,#ERROR!,NA,NA,NA,0.5,<=,27.4798,0.125,#ERROR!,4,<=,30.91477,1,<=,64,#ERROR!,0,8,#ERROR!,1024,>,0,512,>,0.25,#ERROR!,35.28656,0.03,#ERROR!,256,>,NA,NA,NA,32,>,NA,NA,NA,0.5,#ERROR!,NA,NA,NA
S01870-13,ERR1251605,64,>,0,128,>,8,<=,33.1007,1,#ERROR!,0.03,#ERROR!,NA,NA,NA,0.5,<=,26.2307,0.125,#ERROR!,4,<=,28.4166,2,#ERROR!,64,>,0,128,#ERROR!,1024,>,0,512,>,4,>,0,8,#ERROR!,256,>,NA,NA,NA,32,>,NA,NA,NA,32,>,NA,NA,NA
S02159-07,ERR1251598,1,<=,32.7884,0.25,<=,8,<=,30.9148,0.5,#ERROR!,0.03,#ERROR!,NA,NA,NA,0.5,<=,27.1675,0.125,#ERROR!,4,<=,28.7289,1,<=,8,#ERROR!,16.8626,2,#ERROR!,32,#ERROR!,25.9184,64,#ERROR!,0.12,<=,38.4093,0.03,#ERROR!,32,#ERROR!,NA,NA,NA,8,#ERROR!,NA,NA,NA,0.25,<=,NA,NA,NA
S02185-06,ERR1251609,1,<=,37.7847,0.25,<=,8,<=,36.2234,1,#ERROR!,0.03,#ERROR!,NA,NA,NA,2,#ERROR!,24.3571,0.5,#ERROR!,4,<=,32.1639,1,<=,64,>,0,16,#ERROR!,64,#ERROR!,23.4203,32,<=,0.12,<=,38.7215,0.03,#ERROR!,128,#ERROR!,NA,NA,NA,32,>,NA,NA,NA,0.25,<=,NA,NA,NA
S02202-01,ERR1251577,64,>,0,128,>,128,#ERROR!,0,8,#ERROR!,0.03,#ERROR!,NA,NA,NA,0.5,<=,27.16753,0.25,#ERROR!,4,<=,28.41661,2,#ERROR!,32,#ERROR!,14.98898,64,<=,1024,>,0,512,>,4,>,0,32,#ERROR!,256,>,NA,NA,NA,4,<=,NA,NA,NA,32,>,NA,NA,NA
S02289-14,ERR1251579,64,>,0,128,>,8,<=,35.5988,1,#ERROR!,0.03,#ERROR!,NA,NA,NA,0.5,<=,26.2307,0.125,#ERROR!,4,<=,30.2902,2,#ERROR!,64,>,0,128,#ERROR!,1024,>,0,512,>,4,>,0,16,#ERROR!,256,>,NA,NA,NA,32,>,NA,NA,NA,32,>,NA,NA,NA
S02336-11,ERR1251581,1,<=,36.5356,0.25,<=,8,<=,40.2829,0.5,#ERROR!,0.015,<=,NA,NA,NA,0.5,<=,26.8553,0.125,#ERROR!,4,<=,31.8516,1,<=,16,#ERROR!,18.424,4,#ERROR!,8,<=,40.2829,32,<=,0.12,<=,42.4688,0.03,#ERROR!,16,<=,NA,NA,NA,4,<=,NA,NA,NA,0.25,<=,NA,NA,NA
S02347-12,ERR1251582,64,>,0,128,>,8,<=,33.1007,1,#ERROR!,0.5,#ERROR!,NA,NA,NA,0.5,<=,27.1675,0.25,#ERROR!,128,>,0,128,>,16,#ERROR!,0,4,#ERROR!,1024,>,0,512,>,0.12,<=,31.5393,0.03,#ERROR!,64,#ERROR!,NA,NA,NA,4,<=,NA,NA,NA,0.25,<=,NA,NA,NA
S02357-04,ERR1251584,1,<=,29.35342,0.25,<=,8,<=,26.54299,1,#ERROR!,0.015,<=,NA,NA,NA,0.5,<=,26.23072,0.125,#ERROR!,4,<=,26.85526,2,#ERROR!,32,#ERROR!,18.42396,2,#ERROR!,32,#ERROR!,23.42028,64,#ERROR!,0.12,<=,32.78839,0.03,#ERROR!,128,#ERROR!,NA,NA,NA,32,#ERROR!,NA,NA,NA,0.25,<=,NA,NA,NA
S02606-01,ERR1251586,2,#ERROR!,32.47612,0.5,#ERROR!,8,<=,31.53931,0.5,#ERROR!,0.5,#ERROR!,NA,NA,NA,0.5,<=,25.2939,0.25,#ERROR!,128,>,0,128,>,16,#ERROR!,17.17487,2,<=,32,#ERROR!,26.54299,32,<=,0.12,<=,38.40926,0.03,#ERROR!,32,#ERROR!,NA,NA,NA,4,<=,NA,NA,NA,0.5,#ERROR!,NA,NA,NA
S02636-11,ERR1251754,64,>,0,128,>,128,#ERROR!,10.6172,64,#ERROR!,0.015,<=,NA,NA,NA,0.5,<=,14.0522,0.125,#ERROR!,4,<=,27.7921,128,>,16,#ERROR!,0,4,#ERROR!,1024,>,43.0933,512,>,4,>,0,16,#ERROR!,256,>,NA,NA,NA,4,<=,NA,NA,NA,32,>,NA,NA,NA
S02790-08,ERR1251770,2,#ERROR!,32.7884,0.25,<=,8,<=,29.0411,1,#ERROR!,0.03,#ERROR!,NA,NA,NA,0.5,<=,27.4798,0.125,#ERROR!,8,#ERROR!,27.4798,2,#ERROR!,8,#ERROR!,17.1749,2,#ERROR!,16,#ERROR!,29.0411,32,<=,0.12,<=,37.1602,0.03,#ERROR!,32,#ERROR!,NA,NA,NA,4,<=,NA,NA,NA,0.5,#ERROR!,NA,NA,NA
S03040-10,ERR1251769,64,>,0,128,>,128,>,0,64,#ERROR!,0.5,#ERROR!,NA,NA,NA,0.5,<=,29.35342,0.125,#ERROR!,128,>,0,128,>,64,>,0,128,#ERROR!,1024,>,0,512,>,4,>,0,16,#ERROR!,256,>,NA,NA,NA,32,>,NA,NA,NA,32,>,NA,NA,NA
S03086-14,ERR1251765,64,>,0,128,>,8,<=,28.1043,1,#ERROR!,0.03,#ERROR!,NA,NA,NA,0.5,<=,27.7921,0.125,#ERROR!,4,<=,28.4166,2,#ERROR!,64,>,0,64,#ERROR!,1024,>,0,512,>,0.12,<=,35.2866,0.03,#ERROR!,256,>,NA,NA,NA,32,>,NA,NA,NA,0.25,<=,NA,NA,NA
S03120-13,ERR1251767,1,<=,31.8516,0.25,<=,8,<=,29.3534,0.25,<=,0.03,#ERROR!,NA,NA,NA,0.5,<=,27.1675,0.125,#ERROR!,4,<=,28.4166,1,<=,16,#ERROR!,15.9258,2,#ERROR!,32,#ERROR!,27.7921,32,<=,0.12,<=,34.0375,0.03,#ERROR!,64,#ERROR!,NA,NA,NA,4,<=,NA,NA,NA,0.5,#ERROR!,NA,NA,NA
S03195-14,ERR1251491,64,>,2.49816,128,>,8,<=,34.0375,4,#ERROR!,0.03,#ERROR!,NA,NA,NA,0.5,<=,31.227,0.125,#ERROR!,4,<=,29.978,2,#ERROR!,32,#ERROR!,0,4,#ERROR!,1024,>,0,512,>,4,>,1.87362,16,#ERROR!,256,>,NA,NA,NA,32,>,NA,NA,NA,32,>,NA,NA,NA
S03249-01,ERR1251494,64,>,0,128,>,128,#ERROR!,0,0.25,<=,0.03,#ERROR!,NA,NA,NA,0.5,<=,27.79207,0.25,#ERROR!,4,<=,26.23072,2,#ERROR!,32,#ERROR!,12.80309,2,<=,1024,>,0,512,>,4,>,0,32,#ERROR!,256,>,NA,NA,NA,4,<=,NA,NA,NA,32,>,NA,NA,NA
S03274-06,ERR1251495,2,#ERROR!,31.5393,0.5,#ERROR!,8,<=,34.0375,0.5,#ERROR!,0.25,#ERROR!,NA,NA,NA,0.5,<=,28.1043,0.125,#ERROR!,128,>,0,128,>,16,#ERROR!,12.8031,4,#ERROR!,128,#ERROR!,24.3571,64,#ERROR!,0.12,<=,36.8479,0.03,#ERROR!,256,>,NA,NA,NA,4,<=,NA,NA,NA,0.5,#ERROR!,NA,NA,NA
S03558-99,ERR1251486,64,>,0,128,>,128,>,0,128,>,0.03,#ERROR!,NA,NA,NA,0.5,<=,27.79207,0.25,#ERROR!,4,<=,28.72888,2,#ERROR!,64,>,0,16,<=,1024,>,0,512,>,0.25,#ERROR!,33.10067,0.03,#ERROR!,256,>,NA,NA,NA,32,>,NA,NA,NA,0.25,<=,NA,NA,NA
