SRS,Clonal complex,Sequence type,O,H,eae,Ertapenem (ETP 0.064/0.05) Phenotype,Ampicillin (AMP 8) Ceftazidime (CAZ 1/2) Cefotaxime (CTX 0.25/0.5/1) Cefpirome (CPR 1) Cefoxitin (FOX 8) Temocillin (TEM 128) Phenotype,Gentamycin (GEN 2) Tobamycin (TOB 2) Amikacin (AMK 8) Streptomycin (STR 8/16) Phenotype,Ciprofloxacin (CIP 0.064/0.5) Nalidixic acid (NAL 16) Phenotype,Azithromycin (16) Phenotype,Trimethoprim (TMP 2 ) Phenotype,Tetracycline (TET 8) Phenotype,Sulphonamide (SUL 256) Phenotype,Chloramphenicol (CHL 8/16) Phenotype
SRR3241855,CC21,21,O26,H11,+,S,AMP8 (MIC - ≥64) ,STR8 intermediate,S,S,TMP2,S,SUL256,"CHL8,16"
SRR3578990,CC21,21,O26,H11,+,S,AMP8 (MIC - ≥64),S,S,S,S,S,S,"CHL8,16"
SRR7230346,CC21,21,O26,H11,+,S,AMP8 (MIC - ≥64),"STR8,16",S,S,S,S,SUL256,S
SRR3241986,CC21,21,O26,H11,+,S,AMP8 (MIC - ≥64),"STR8,16",S,S,S,S,SUL256,S
SRR4788079,CC504,504,O117,H7,-,S,AMP8 (MIC - ≥64),"STR8,16",S,S,TMP2,TET8,SUL256,S
SRR4897641,CC21,1732,O26,H11,+,S,AMP8 (MIC - ≥64,"STR8,16",S,S,S,S,SUL256,CHL8 Intermediate
SRR4787729,CC504,504,O117,H7,-,S,AMP8 (MIC - ≥64),"STR8,16",S,S,TMP2,TET8,SUL256,CHL8 Intermediate
SRR5023717,CC165,301,O80,H2,21,S,AMP8,"STR8,16",CIP0.064,S,TMP2,TET8,SUL256,S
SRR3240964,CC165,301,O80,H2,+,S,AMP8,"GEN2. TOB2. STR8,16",CIP0.064,S,TMP2 (repeat same) MIC - ≥32,TET8,SUL256,"CHL8,16"
SRR5023728,CC504,504,O117,H7,-,S,AMP8,"STR8,16",CIP0.064,S,TMP2,TET8,SUL256,CHL8 Intermediate
SRR7286517,CC25,25,O128ac,H2,-,S,AMP8,"STR8,16",S,1-2 mg/L,TMP2,TET8,SUL256,S
SRR3241981,CC17,386,O103,H2,+,S,AMP8,"STR8,16",S,S,S,TET8,SUL256,CHL8 Intermediate
SRR5023699,CC504,504,O117,H7,-,S,AMP8,"STR8,16",CIP0.064,S,TMP2,TET8,SUL256,CHL8 Intermediate
SRR3240984,CC17,17,O103,H2,+,S,AMP8,"STR8,16",S,S,TMP2,TET8,SUL256,S
SRR5023784,CC504,504,O117,H7,-,S,AMP8,"STR8,16",S,S,S,TET8,SUL256,CHL8 Intermediate
SRR5023771,CC33,33,O91,H14,-,S,AMP8,"STR8,16",S,S,TMP2,S,SUL256 (repeat same)  MIC ≥1024,S
SRR6008944,CC504,504,O117,H7,-,S,AMP8,"STR8,16",S,S,S,TET8,SUL256,S
SRR7184325,CC504,504,O117,H7,-,S,AMP8,"STR8,16",S,S,TMP2 (repeat same) MIC - ≥32,TET8,SUL256,CHL8 Intermediate
SRR7401612,CC21,21,O26,H11,+,S,AMP8,"STR8,16",S,S,S,TET8,SUL256,S
SRR5018375,CC21,21,O26,H11,+,S,AMP8,"STR8,16",S,S,S,TET8,SUL256,"CHL8,16"
SRR4897156,CC21,21,O26,H11,+,S,AMP8,"STR8,16",S,S,S,S,SUL256,CHL8 Intermediate (repeat sensitive)  MIC - ≥8
SRR3578955,CC165,301,O80,H2,+,S,AMP8,"GEN2. TOB2. STR8,16",CIP0.064,S,TMP2 (repeat same) MIC - ≥32,TET8,SUL256,"CHL8,16"
SRR4786590,CC21,21,O26,H11,+,S,AMP8,"STR8,16",S,S,TMP2,S,SUL256,"CHL8,16"
SRR5023790,CC165,301,O80,H2,+,S,AMP8,"STR8,16",CIP0.067,S,TMP2,S,SUL256,S
SRR3530809,CC165,301,O55,H9,+,S,AMP8,"GEN2. TOB2. STR8,16",CIP0.064,S,TMP2 (repeat same) MIC - ≥32,TET8,SUL256,"CHL8,16"
SRR3581385,CC21,21,O26,H11,+,S,AMP8,"STR8,16",S,S,S,TET8,SUL256,S
SRR3579394,CC21,21,O26,H11,+,S,AMP8,"STR8,16",S,1-2 mg/L,TMP2,TET8,SUL256,S
SRR3581421,CC21,21,O26,H11,+,S,AMP8,"STR8,16",S,S,TMP2,TET8,SUL256,S
SRR4184697,CC21,29,O26,H11,+,S,AMP8,"STR8,16",S,S,S,TET8,SUL256,CHL8 Intermediate
SRR3578943,CC21,21,O26,H11,+,S,AMP8,"STR8,16",S,S,TMP2,S,SUL256,CHL8 Intermediate
SRR5024462,CC17,17,O103,H2,+,S,AMP8,"STR8,16",CIP0.064,S,TMP2,TET8,SUL256,CHL8 Intermediate
SRR3579389,CC165,301,O80,H2,+,S,AMP8 ,"GEN2. TOB2. STR8,16",CIP0.064,S,TMP2,TET8,SUL256,"CHL8,16"
SRR3581326,CC504,504,O117,H7,-,S,AMP8,"STR8,16",S,S,TMP2 (repeat same) MIC - ≥32,TET8,SUL256,S
SRR5005294,CC21,29,O177,H11,+,S,AMP8,"GEN2. TOB2. STR8,16",S,S,TMP2,TET8,SUL256,"CHL8,16"
SRR7204399,CC21,21,O26,H11,+,S,AMP8,"STR8,16",S,S,TMP2,TET8,SUL256,"CHL8,16"
SRR4787168,CC504,504,O117,H7,-,S,AMP8,"STR8,16",S,S,TMP2 (repeat same) MIC - ≥32,TET8,SUL256,CHL8 Intermediate
SRR4897813,CC165,301,O80,H2,+,S,AMP8,"STR8,16",CIP0.064,S,TMP2,TET8,SUL256,CHL8 Intermediate
SRR4787395,CC21,21,O26,H11,+,S,AMP8,"STR8,16",S,S,S,TET8,SUL256,S
SRR7249825,CC17,17,O118-O151,H2,-,S,AMP8,"STR8,16",S,S,TMP2,TET8,SUL256,CHL8 Intermediate
SRR4787384,CC504,504,O117,H7,-,S,AMP8,"STR8,16",S,S,S,TET8,SUL256,S
SRR4788377,CC21,21,O26,H11,+,S,AMP8,"GEN2. STR8,16",S,S,TMP2,TET8,SUL256,CHL8 Intermediate
SRR7223149,CC165,301,O80,H2,+,S,AMP8,"GEN2. TOB2. STR8,16",CIP0.064,S,TMP2,TET8,SUL256,"CHL8,16"
SRR5006363,CC21,21,O26,H11,+,S,AMP8,"STR8,16",CIP0.064,S,TMP2,TET8,SUL256,CHL8 Intermediate
SRR4786559,CC21,21,O26,H11,+,S,AMP8,"STR8,16",S,≥16 (E-test 32),TMP2,TET8,SUL256,CHL8 Intermediate
SRR6009922,CC504,P3214,O117,H7,-,S,AMP8,"STR8,16",CIP0.064,S,TMP2,TET8,SUL256,S
SRR7265937,CC165,301,O80,H2,+,S,AMP8,"GEN2. TOB2. STR8,16",CIP0.064,S,TMP2 (repeat same) MIC - ≥32,TET8,SUL256,"CHL8,16"
SRR7249772,CC33,33,O91,H14,-,S,AMP8,"STR8,16",S,S,TMP2,S,SUL256,S
SRR7186965,CC442,442,O146,H21,-,S,AMP8,S ,S,S,TMP2,TET8,SUL256,S
SRR6009920,CC504,P3214,O117,H7,-,S,AMP8,"STR8,16",CIP0.064 ,S,TMP2,TET8,SUL256,CHL8 Intermediate
SRR7184231,CC21,21,O118-O151,H16,,S,AMP8,"STR8,16",S,S,TMP2,TET8,SUL256,S
SRR7184231,CC21,21,O118-O151,H16,+,S,AMP8,"STR8,16",S,S,TMP2,TET8,SUL256,S
SRR3578580,CC17,386,O103,H2,+,S,AMP8,"STR8,16",S,S,S,TET8,SUL256,S
SRR3581364,CC17,386,O103,H2,+,S,AMP8,"STR8,16",S,S,S,TET8,SUL256,CHL8 Intermediate
SRR3581344,CC17,386,O103,H2,+,S,AMP8,"STR8,16",S,S,S,TET8,SUL256,CHL8 Intermediate
SRR3579373,CC21,21,O26,H11,+,S,"AMP8. CAZ0.5,1,2. CTX0.25,0.5,1. CPR1. ","GEN2. TOB2. STR8,16",S,≥16 (E-test 32),TMP2,TET8,SUL256,CHL8 Intermediate
SRR3574263,CC165,301,O55,H9,+,S,"AMP8. CAZ0.5,1,2. CTX0.25,0.5,1. CPR1. FOX8.","GEN2. TOB2. STR8,16",CIP0.5,≥64    ,TMP2,TET8,SUL256,"CHL8,16"
SRR7286595,CC21,21,O26,H11,+,S,"AMP8. CAZ0.5,1,2. CTX0.25,0.5,1. CPR1. ","STR8,16",S,S,S,TET8,SUL256,CHL8 Intermediate
SRR3578659,CC10,10,O87,H2,-,S,"AMP8. CAZ0.5. CTX0.25,0.5,1. CPR1.",S,CIP0.064,S,S,S,S,S
SRR5023804,CC165,301,O80,H2,+,S,AMP8  (MIC - ≥4),"STR8,16",CIP0.064,S,S,S,SUL256,S
SRR5023682,CC442,442,O146,H21,-,S,AMP8 (MIC - ≥8),S,S,S,S,S,S,S
SRR6375610,CC504,5292,O117,H7,-,S,AMP8 (MIC - ≥4),"STR8,16",CIP0.064,≥64,TMP2,S,SUL256,CHL8 Intermediate
SRR3241998,CC21,21,O26,H11,+,S,AMP8 (MIC - ≥4),"STR8,16",S,S,S,TET8,SUL256,CHL8 Intermediate
SRR6375609,CC504,5292,O117,H7,-,S,AMP8 (MIC - ≥4),"STR8,16",CIP0.064,S,TMP2,S,SUL256,S
SRR3241987,CC335,335,O55,H7,+,S,AMP8 (MIC - ≥4),STR8,S,S,TMP2,S,S,CHL8 Intermediate
SRR5023778,CC21,21,O26,H11,+,S,AMP8 (MIC - ≥4),"STR8,16",S,S,S,TET8,SUL256,CHL8 Intermediate
SRR3240981,CC21,21,O26,H11,+,S,AMP8 (MIC - ≥4),"STR8,16",S,S,S,TET8,SUL256,CHL8 Intermediate
SRR5023723,CC504,504,O117,H7,-,S,AMP8 (MIC - ≥4),"STR8,16",CIP0.064,S,TMP2,S,SUL256,S
SRR3240985,CC335,335,O55,H7,+,S,AMP8 (MIC - ≥4),STR8,S,S,TMP2,S,S,S
SRR7286450,CC504,5292,O117,H7,-,S,AMP8 (MIC - ≥4),STR8. STR16 intermediate,CIP0.064,≥128 (E-test - >256),TMP2,TET8,SUL256,CHL8 Intermediate
SRR7215284,CC442,442,O146,H21,-,S,AMP8 (MIC - ≥8),"STR8,16 ",S,S,S,TET8,SUL256,S
SRR7283813,CC21,21,O26,H11,+,S,AMP8 (MIC - ≥4),"STR8,16",S,S,S,TET8,SUL256,CHL8 Intermediate
SRR4181505,CC21,21,O26,H11,+,S,AMP8 (MIC - ≥4),"STR8,16",S,S,S,TET8,SUL256,CHL8 Intermediate
SRR4181538,CC21,21,O26,H11,+,S,AMP8 (MIC - ≥4),"STR8,16",S,S,S,S,SUL256,CHL8 Intermediate
SRR5005319,CC33,33,O91,H14,-,S,AMP8 (MIC - ≥4),STR8. STR16 intermediate,S,S,S,S,S,CHL8 Intermediate
SRR5029703,CC21,21,O118-O151,H16,+,S,AMP8 (MIC - ≥4),S ,S,S,S,S,S,CHL8 Intermediate
SRR3581438,CC504,504,O117,H7,-,S,AMP8 (MIC - ≥4),"STR8,16",S,S,TMP2,TET8,SUL256,CHL8 Intermediate
SRR3579402,CC25,25,O128ac,H2,-,S,AMP8 (MIC - ≥4),"STR8,16",S,1-2 mg/L,TMP2,TET8,SUL256,S
SRR3581328,CC32,32,O145,H28,+,S,AMP8 (MIC - ≥2),"STR8,16",S,S,S,S,SUL256,CHL8 Intermediate
SRR3581389,CC504,504,O156,H7,-,S,AMP8 (MIC - ≥4),"STR8,16",CIP0.064,S,TMP2,TET8,SUL256,"CHL8,16"
SRR3578951,CC442,442,O146,H21,-,S,AMP8 (MIC - ≥8),S,S,S,TMP2,S,SUL256,S
SRR7191720,CC21,29,O123-O186,H11,,S,AMP8 (MIC - ≥4),"STR8,16",CIP0.064,S,S,TET8,SUL256,CHL8 Intermediate
SRR3574219,CC165,301,O80,H2,+,S,AMP8 (MIC - ≥4),S,S,S,TMP2 (repeat same) MIC - ≥32,TET8,SUL256,"CHL8,16"
SRR3574253,CC504,504,O117,H7,-,S,AMP8 (MIC - ≥4),S ,CIP0.064,≥16 ( E-test -> 48),TMP2,S,SUL256,S
SRR4897587,CC17,17,O103,H2,+,S,AMP8 (MIC - ≥4),"STR8,16",S,S,S,TET8,S,S
SRR4897311,CC17,17,O71,H2,+,S,AMP8 (MIC - ≥4),"STR8,16",S,S,S,TET8,SUL256,S
SRR5005559,CC21,29,O177,H11,+,S,AMP8 (MIC - ≥4),S,S,S,S,S,S,CHL8 Intermediate
SRR4787864,CC17,17,O118-O151,H2,+,S,AMP8 (MIC - ≥4),S,S,S,S,S,S,CHL8 Intermediate
SRR5006088,CC442,442,O146,H21,-,S,AMP8 (MIC - ≥8),"STR8,16",S,≥128 (E-test >256),TMP2,TET8,SUL256,CHL8 Intermediate
SRR4897070,CC442,442,O146,H21,-,S,AMP8 (MIC - ≥8),"STR8,16",S,S,S,TET8,SUL256,S
SRR4787905,CC21,21,O118-O151,H16,+,S,AMP8 (MIC - ≥4),S,S,S,S,S,S,CHL8 Intermediate
SRR6009921,CC504,5292,O117,H7,-,S,AMP8 (MIC - ≥4),"STR8,16",CIP0.064,S,TMP2,S,SUL256,CHL8 Intermediate
SRR4787740,CC21,21,O26,H11,+,S,AMP8 (MIC - ≥4),STR8. STR16 intermediate,S,S,S,TET8,SUL256,S
SRR7249509,CC33,33,O91,H14,-,S,AMP8 (MIC - ≥2),"STR8,16",S,S,S,TET8,SUL256,S
SRR7285597,CC21,21,O26,H11,+,S,AMP8 (MIC - ≥4),"STR8,16",S,S,S,S,SUL256,CHL8 Intermediate
SRR4897266,CC17,17,O103,H2,+,S,AMP8 (MIC - ≥4),"STR8,16",CIP0.064,S,S,TET8,SUL256,S
SRR5005494,CC504,P3214,O117,H7,-,S,AMP8 (MIC - ≥4),S,CIP0.064,S,TMP2,S,S,CHL8 Intermediate
SRR4787759,CC504,5292,O117,H7,-,S,AMP8 (MIC - ≥4),S,CIP0.064,S,TMP2,S,S,S
SRR5006387,CC21,21,O26,H11,+,S,AMP8 (MIC - ≥4),"STR8,16",S,S,S,TET8,SUL256,S
SRR7367370,CC21,21,O26,H11,+,S,AMP8 (MIC - ≥4),"STR8,16",S,S,TMP2 (repeat same) MIC - ≥32,S,SUL256,"CHL8,16"
SRR7291449,CC33,33,O91,H14,-,S,AMP8 (MIC - ≥4),STR8,S,S,S,TET8,SUL256,S
SRR7163898,CC442,442,O146,H21,-,S,AMP8 (MIC - ≥8),S ,S,S,S,S,S,S
SRR7163898,CC442,442,O146,H21,-,S,AMP8 (MIC - ≥8),S ,S,S,S,S,S,S