run_accession,study_accession,accession number,tax_id,scientific_name,submitted_ftp,sample ID,source species,organism,year of isolation,clinical rol,sample,geo loc,owner State,AMC,AMP,AZT,FOX,CRO,CHL,CIP,GEN,MER,NAL,STR,FIZ,TET,TRISUL
SRR14766326,PRJNA736314,SAMN19642025,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-024128-094,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2016,UNKNOWN,LUNG,USA,IL,>   32.0000,>   32.0000,=   4.0000,>   32.0000,=   64.0000,>   32.0000,=   0.2500,=   1.0000,<=   0.0600,>   32.0000,>   64.0000,>   256.0000,>   32.0000,=   0.2500
SRR14766327,PRJNA736314,SAMN19641950,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-024128-072,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2016,INFECTION,"LUNG, LIVER, INTEST",USA,TX,>   32.0000,>   32.0000,=   8.0000,>   32.0000,=   16.0000,>   32.0000,=   0.0300,=   1.0000,<=   0.0600,=   4.0000,>   64.0000,>   256.0000,>   32.0000,=   0.5000
SRR14766328,PRJNA736314,SAMN19642009,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-024128-062,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2016,INFECTION,LUNG,USA,IA,>   32.0000,>   32.0000,=   4.0000,>   32.0000,=   32.0000,>   32.0000,=   0.0300,=   1.0000,<=   0.0600,=   2.0000,>   64.0000,>   256.0000,>   32.0000,=   0.2500
SRR14766329,PRJNA736314,SAMN19641972,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-024128-056,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2016,INFECTION,LIVER,USA,MN,>   32.0000,>   32.0000,=   4.0000,=   32.0000,=   8.0000,>   32.0000,=   0.2500,=   1.0000,<=   0.0600,>   32.0000,>   64.0000,>   256.0000,>   32.0000,=   0.2500
SRR14766330,PRJNA736314,SAMN19641991,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-024128-037,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2016,UNKNOWN,FECES,USA,MI,>   32.0000,>   32.0000,=   4.0000,>   32.0000,=   32.0000,>   32.0000,=   0.0300,=   1.0000,<=   0.0600,=   4.0000,>   64.0000,>   256.0000,>   32.0000,=   0.2500
SRR14766331,PRJNA736314,SAMN19642008,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-024128-028,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2016,INFECTION,LUNG,USA,IA,>   32.0000,>   32.0000,=   4.0000,=   32.0000,=   16.0000,>   32.0000,<=   0.0150,=   0.5000,<=   0.0600,=   4.0000,>   64.0000,>   256.0000,>   32.0000,<=   0.1200
SRR14766332,PRJNA736314,SAMN19642029,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-024128-026,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2016,INFECTION,LUNG,USA,IN,>   32.0000,>   32.0000,=   4.0000,>   32.0000,=   32.0000,>   32.0000,=   0.0300,=   1.0000,<=   0.0600,=   4.0000,>   64.0000,>   256.0000,>   32.0000,=   0.2500
SRR14766333,PRJNA736314,SAMN19641944,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-024128-001,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2016,UNKNOWN,LIVER,USA,SD,>   32.0000,>   32.0000,=   2.0000,=   16.0000,=   8.0000,>   32.0000,=   0.1200,=   0.5000,<=   0.0600,>   32.0000,>   64.0000,>   256.0000,=   32.0000,<=   0.1200
SRR14766334,PRJNA736314,SAMN19641992,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-024127-077,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2016,INFECTION,BRAIN,USA,WI,>   32.0000,>   32.0000,=   4.0000,>   32.0000,>   64.0000,>   32.0000,=   0.0300,=   1.0000,<=   0.0600,=   4.0000,=   32.0000,>   256.0000,>   32.0000,=   0.2500
SRR14766335,PRJNA736314,SAMN19642045,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-006979-365,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2014,INFECTION,FECES,USA,NY,>   32.0000,>   32.0000,=   4.0000,=   32.0000,=   16.0000,>   32.0000,<=   0.0150,=   1.0000,<=   0.0600,=   2.0000,>   64.0000,>   256.0000,>   32.0000,=   0.2500
SRR14766336,PRJNA736314,SAMN19642055,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-024127-066,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2016,INFECTION,MILK,USA,NY,>   32.0000,>   32.0000,=   4.0000,>   32.0000,=   32.0000,>   32.0000,=   0.0300,=   1.0000,<=   0.0600,=   4.0000,>   64.0000,>   256.0000,>   32.0000,=   0.2500
SRR14766337,PRJNA736314,SAMN19642054,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-024127-065,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2016,INFECTION,LNMES,USA,NY,>   32.0000,>   32.0000,=   4.0000,>   32.0000,=   32.0000,>   32.0000,=   0.0300,=   1.0000,<=   0.0600,=   4.0000,>   64.0000,>   256.0000,>   32.0000,=   0.2500
SRR14766338,PRJNA736314,SAMN19642024,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-024125-089,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2016,INFECTION,INTEST,USA,IL,>   32.0000,>   32.0000,=   4.0000,=   32.0000,=   16.0000,>   32.0000,=   0.2500,=   0.5000,<=   0.0600,>   32.0000,>   64.0000,>   256.0000,>   32.0000,=   0.2500
SRR14766339,PRJNA736314,SAMN19641943,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-024125-086,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2016,UNKNOWN,UNKNOWN,USA,SD,<=   1.0000,=   2.0000,=   4.0000,=   8.0000,<=   0.2500,>   32.0000,=   0.0300,=   0.5000,<=   0.0600,=   4.0000,>   64.0000,>   256.0000,>   32.0000,=   0.5000
SRR14766340,PRJNA736314,SAMN19642023,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-024125-038,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2016,INFECTION,LUNG,USA,IL,>   32.0000,>   32.0000,=   8.0000,>   32.0000,=   16.0000,>   32.0000,=   0.0300,=   1.0000,<=   0.0600,=   4.0000,>   64.0000,>   256.0000,>   32.0000,=   0.2500
SRR14766341,PRJNA736314,SAMN19641971,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-024125-033,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2016,INFECTION,LUNG,USA,MN,=   2.0000,<=   1.0000,=   8.0000,=   4.0000,<=   0.2500,>   32.0000,=   0.0300,=   0.5000,<=   0.0600,=   4.0000,>   64.0000,>   256.0000,>   32.0000,=   0.5000
SRR14766342,PRJNA736314,SAMN19642007,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-024125-031,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2016,INFECTION,FECES,USA,IA,>   32.0000,>   32.0000,=   4.0000,>   32.0000,=   32.0000,=   8.0000,=   0.0300,=   1.0000,<=   0.0600,=   4.0000,>   64.0000,>   256.0000,>   32.0000,=   0.2500
SRR14766343,PRJNA736314,SAMN19642063,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-024125-024,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2016,UNKNOWN,LUNG,USA,KY,>   32.0000,>   32.0000,=   4.0000,>   32.0000,=   16.0000,>   32.0000,=   0.0300,=   2.0000,<=   0.0600,=   8.0000,>   64.0000,>   256.0000,>   32.0000,=   0.2500
SRR14766344,PRJNA736314,SAMN19642062,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-012180-603,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2015,UNKNOWN,CULTURE,USA,KY,<=   1.0000,<=   1.0000,=   8.0000,=   2.0000,<=   0.2500,>   32.0000,<=   0.0150,=   1.0000,<=   0.0600,=   4.0000,>   64.0000,>   256.0000,>   32.0000,=   0.5000
SRR14766345,PRJNA736314,SAMN19641970,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-012180-555,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2015,INFECTION,LIVER,USA,MN,>   32.0000,>   32.0000,=   4.0000,>   32.0000,=   32.0000,>   32.0000,=   0.0300,=   1.0000,<=   0.0600,=   4.0000,>   64.0000,>   256.0000,>   32.0000,=   0.2500
SRR14766346,PRJNA736314,SAMN19641933,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-006979-262,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2014,INFECTION,LIVER,USA,ID,<=   1.0000,<=   1.0000,=   4.0000,=   8.0000,<=   0.2500,>   32.0000,<=   0.0150,=   0.5000,<=   0.0600,=   4.0000,>   64.0000,>   256.0000,>   32.0000,=   0.2500
SRR14766347,PRJNA736314,SAMN19641942,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-012180-549,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2015,UNKNOWN,LUNG,USA,SD,>   32.0000,>   32.0000,=   4.0000,>   32.0000,=   32.0000,>   32.0000,=   0.5000,=   1.0000,<=   0.0600,>   32.0000,>   64.0000,>   256.0000,>   32.0000,=   0.2500
SRR14766348,PRJNA736314,SAMN19642028,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-012180-544,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2015,INFECTION,CULTURE,USA,IN,>   32.0000,>   32.0000,=   8.0000,>   32.0000,=   64.0000,>   32.0000,=   0.0300,=   1.0000,<=   0.0600,=   4.0000,>   64.0000,>   256.0000,>   32.0000,>   4.0000
SRR14766349,PRJNA736314,SAMN19642006,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-012180-541,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2015,INFECTION,CULTURE,USA,IA,>   32.0000,>   32.0000,=   8.0000,>   32.0000,=   32.0000,>   32.0000,=   0.2500,=   2.0000,<=   0.0600,>   32.0000,>   64.0000,>   256.0000,>   32.0000,=   0.2500
SRR14766350,PRJNA736314,SAMN19641969,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-012180-528,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2015,INFECTION,CULTURE,USA,MN,>   32.0000,>   32.0000,=   4.0000,>   32.0000,=   32.0000,>   32.0000,=   0.0300,=   1.0000,<=   0.0600,=   8.0000,>   64.0000,>   256.0000,>   32.0000,=   2.0000
SRR14766351,PRJNA736314,SAMN19642053,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-012180-527,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2015,INFECTION,LIVER,USA,NY,>   32.0000,>   32.0000,=   4.0000,>   32.0000,=   32.0000,>   32.0000,=   0.0300,=   1.0000,<=   0.0600,=   4.0000,>   64.0000,>   256.0000,>   32.0000,=   0.2500
SRR14766352,PRJNA736314,SAMN19642052,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-012180-526,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2015,INFECTION,KIDNEY,USA,NY,>   32.0000,>   32.0000,=   4.0000,>   32.0000,=   64.0000,>   32.0000,=   0.0300,=   1.0000,<=   0.0600,=   4.0000,>   64.0000,>   256.0000,>   32.0000,=   0.2500
SRR14766353,PRJNA736314,SAMN19641947,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-012180-523,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2015,UNKNOWN,LUNG,USA,OK,<=   1.0000,=   2.0000,=   4.0000,=   8.0000,<=   0.2500,=   8.0000,=   0.0300,=   1.0000,<=   0.0600,=   8.0000,=   16.0000,<=   16.0000,<=   4.0000,<=   0.1200
SRR14766354,PRJNA736314,SAMN19641968,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-012180-520,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2015,INFECTION,LIVER,USA,MN,>   32.0000,>   32.0000,=   4.0000,>   32.0000,=   32.0000,=   8.0000,=   0.0300,=   1.0000,<=   0.0600,=   4.0000,=   32.0000,>   256.0000,>   32.0000,=   0.5000
SRR14766355,PRJNA736314,SAMN19642041,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-012180-513,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2015,INFECTION,LUNG,USA,PA,>   32.0000,>   32.0000,=   4.0000,>   32.0000,>   64.0000,>   32.0000,=   0.0300,=   2.0000,<=   0.0600,=   8.0000,>   64.0000,>   256.0000,>   32.0000,=   0.5000
SRR14766356,PRJNA736314,SAMN19641949,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-012180-510,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2015,INFECTION,FECES,USA,TX,>   32.0000,>   32.0000,=   4.0000,=   16.0000,=   4.0000,>   32.0000,<=   0.0150,=   1.0000,<=   0.0600,=   4.0000,>   64.0000,>   256.0000,>   32.0000,=   0.2500
SRR14766357,PRJNA736314,SAMN19641937,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-006979-205,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2014,UNKNOWN,LYMPH,USA,SD,=   32.0000,>   32.0000,=   4.0000,>   32.0000,=   16.0000,>   32.0000,=   0.0300,<=   0.2500,<=   0.0600,=   4.0000,>   64.0000,>   256.0000,>   32.0000,<=   0.1200
SRR14766358,PRJNA736314,SAMN19641994,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-006979-146,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2014,INFECTION,UNKNOWN,USA,IA,>   32.0000,>   32.0000,=   8.0000,>   32.0000,=   16.0000,>   32.0000,=   0.5000,=   1.0000,<=   0.0600,>   32.0000,>   64.0000,>   256.0000,>   32.0000,=   0.2500
SRR14766359,PRJNA736314,SAMN19642015,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-012180-152,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2015,INFECTION,LUNG,USA,MO,<=   1.0000,<=   1.0000,=   0.5000,=   2.0000,<=   0.2500,>   32.0000,<=   0.0150,<=   0.2500,<=   0.0600,<=   0.5000,>   64.0000,>   256.0000,=   16.0000,=   0.2500
SRR14766360,PRJNA736314,SAMN19641961,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-012180-146,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2015,UNKNOWN,LUNG,USA,MN,>   32.0000,>   32.0000,=   4.0000,=   32.0000,=   8.0000,>   32.0000,=   0.2500,=   1.0000,<=   0.0600,>   32.0000,>   64.0000,>   256.0000,>   32.0000,=   0.5000
SRR14766361,PRJNA736314,SAMN19641960,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-012180-104,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2015,INFECTION,LUNG,USA,MN,<=   1.0000,<=   1.0000,=   4.0000,=   2.0000,<=   0.2500,=   8.0000,<=   0.0150,=   0.5000,<=   0.0600,=   2.0000,=   4.0000,=   64.0000,<=   4.0000,<=   0.1200
SRR14766362,PRJNA736314,SAMN19641997,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-012180-088,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2015,INFECTION,LIVER,USA,IA,<=   1.0000,<=   1.0000,=   4.0000,=   2.0000,<=   0.2500,=   4.0000,<=   0.0150,=   1.0000,<=   0.0600,=   2.0000,=   8.0000,=   32.0000,<=   4.0000,<=   0.1200
SRR14766363,PRJNA736314,SAMN19642021,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-012180-063,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2015,UNKNOWN,UNKNOWN,USA,IL,>   32.0000,>   32.0000,=   8.0000,>   32.0000,=   32.0000,=   8.0000,<=   0.0150,=   1.0000,<=   0.0600,=   4.0000,>   64.0000,=   32.0000,>   32.0000,<=   0.1200
SRR14766364,PRJNA736314,SAMN19641935,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-012180-028,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2015,UNKNOWN,INTEST,USA,NE,>   32.0000,>   32.0000,=   4.0000,>   32.0000,=   32.0000,>   32.0000,=   0.0300,=   0.5000,<=   0.0600,=   4.0000,>   64.0000,>   256.0000,>   32.0000,=   0.2500
SRR14766365,PRJNA736314,SAMN19641996,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-006979-536,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2014,INFECTION,LUNG,USA,IA,>   32.0000,>   32.0000,=   4.0000,>   32.0000,=   16.0000,>   32.0000,=   0.0300,=   2.0000,<=   0.0600,=   4.0000,>   64.0000,>   256.0000,>   32.0000,>   4.0000
SRR14766366,PRJNA736314,SAMN19641959,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-006979-506,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2014,UNKNOWN,INTEST,USA,MN,>   32.0000,>   32.0000,=   4.0000,>   32.0000,=   32.0000,>   32.0000,=   0.0300,=   1.0000,<=   0.0600,=   4.0000,>   64.0000,>   256.0000,>   32.0000,=   4.0000
SRR14766367,PRJNA736314,SAMN19642040,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-006979-501,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2014,INFECTION,LUNG,USA,PA,>   32.0000,>   32.0000,=   4.0000,>   32.0000,=   32.0000,>   32.0000,=   0.0300,=   1.0000,<=   0.0600,=   4.0000,>   64.0000,>   256.0000,>   32.0000,=   0.2500
SRR14766368,PRJNA736314,SAMN19642039,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-006979-500,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2014,INFECTION,LIVER,USA,PA,>   32.0000,>   32.0000,=   4.0000,>   32.0000,=   32.0000,>   32.0000,=   0.0300,=   1.0000,<=   0.0600,=   4.0000,>   64.0000,>   256.0000,>   32.0000,=   0.2500
SRR14766369,PRJNA736314,SAMN19641955,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-006979-127,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2014,UNKNOWN,LUNG,USA,MN,>   32.0000,>   32.0000,=   4.0000,>   32.0000,=   64.0000,>   32.0000,=   0.0300,=   0.5000,<=   0.0600,=   4.0000,>   64.0000,>   256.0000,>   32.0000,=   0.2500
SRR14766370,PRJNA736314,SAMN19641958,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-006979-497,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2014,INFECTION,SPLEEN,USA,MN,=   32.0000,>   32.0000,=   4.0000,=   16.0000,=   16.0000,>   32.0000,=   0.0300,=   0.5000,<=   0.0600,=   4.0000,>   64.0000,>   256.0000,=   32.0000,=   0.5000
SRR14766371,PRJNA736314,SAMN19641995,98360,Salmonella enterica subsp. enterica serovar Dublin,NA,18-006979-490,"Cattle, Domestic",Salmonella enterica subsp. enterica serovar Dublin,2014,INFECTION,LUNG,USA,IA,>   32.0000,>   32.0000,=   2.0000,>   32.0000,=   32.0000,>   32.0000,=   0.0300,=   0.5000,<=   0.0600,=   2.0000,>   64.0000,>   256.0000,>   32.0000,=   0.5000
