BioSample,Run,Imipenem,Meropenem,Doripenem,OXA-23 (ARO:3001418),QacEdelta1 (ARO:3005010),Sul1 (ARO:3000410),mphE (ARO:3003741),msrE (ARO:3003109),ANT(3'')-II (ARO:3002601),aacC1 (ARO:3002528),YafP (UniProtKB:Q47158),AphA6 (ARO:3002652),xerD (UniProtKB:D0CB56)
SAMN02570434,SRR1103766,17 (R),6 (R),6 (R),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
SAMN02570435,SRR1103767,17 (R),6 (R),6 (R),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
SAMN02570436,SRR1103768;SRR1103769,17 (R),6 (R),6 (R),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
SAMN02614514,SRR1151595;SRR1151596,6 (R),NA (NA),NA (NA),YES,YES,YES,YES,YES,YES,YES,YES,YES,NO
SAMN02614527,SRR1151807;SRR1151808,6 (R),NA (NA),NA (NA),YES,YES,YES,YES,YES,YES,YES,YES,YES,NO
SAMN02614528,SRR1151813,6 (R),NA (NA),NA (NA),YES,YES,YES,YES,YES,YES,YES,YES,YES,NO
SAMN02614529,SRR1151818,6 (R),NA (NA),NA (NA),YES,YES,YES,YES,YES,YES,YES,YES,YES,NO
SAMN02614530,SRR1151819,6 (R),NA (NA),NA (NA),YES,YES,YES,YES,YES,YES,YES,YES,YES,NO
SAMN02614531,SRR1151825,6 (R),NA (NA),NA (NA),YES,YES,YES,YES,YES,YES,YES,YES,YES,NO
SAMN02614532,SRR1151834,6 (R),NA (NA),NA (NA),YES,YES,YES,YES,YES,YES,YES,YES,YES,NO
SAMN02614533,SRR1151843,6 (R),NA (NA),NA (NA),YES,YES,YES,YES,YES,YES,YES,YES,YES,NO
SAMN02614534,SRR1151844,6 (R),NA (NA),NA (NA),YES,YES,YES,YES,YES,YES,YES,YES,YES,NO
SAMN02614540,SRR1151895,6 (R),NA (NA),NA (NA),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
SAMN02614541,SRR1151901,6 (R),NA (NA),NA (NA),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
SAMN02614542,SRR1151909,6 (R),NA (NA),NA (NA),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
SAMN02614543,SRR1151914,6 (R),NA (NA),NA (NA),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
SAMN02614544,SRR1151915,6 (R),NA (NA),NA (NA),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
SAMN02614545,SRR1151920,6 (R),NA (NA),NA (NA),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
SAMN02614546,SRR1151937,6 (R),NA (NA),NA (NA),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
SAMN02614547,SRR1151942,6 (R),NA (NA),NA (NA),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
SAMN02614548,SRR1151951;SRR1151952,15 (R),11 (R),11 (R),NO,YES,YES,NO,NO,YES,YES,YES,NO,YES
SAMN02614549,SRR1151953,6 (R),NA (NA),NA (NA),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
SAMN02614550,SRR1151962,15 (R),11 (R),11 (R),NO,YES,YES,NO,NO,YES,YES,YES,NO,YES
SAMN02614551,SRR1151970;SRR1151971,15 (R),11 (R),11 (R),NO,YES,YES,NO,NO,YES,YES,YES,NO,YES
SAMN02614552,SRR1151972,15 (R),11 (R),11 (R),NO,YES,YES,NO,NO,YES,YES,YES,NO,YES
SAMN02614553,SRR1151981,15 (R),11 (R),11 (R),NO,YES,YES,NO,NO,YES,YES,YES,NO,YES
SAMN02614554,SRR1151987,7 (R),7 (R),7 (R),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
SAMN02614555,SRR1151996,7 (R),7 (R),7 (R),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
SAMN02614556,SRR1152001,7 (R),7 (R),7 (R),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
SAMN02614557,SRR1152002,7 (R),7 (R),7 (R),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
SAMN02644664,SRR1171085,10 (R),NA (NA),NA (NA),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
SAMN02644665,SRR1171086,10 (R),NA (NA),NA (NA),YES,YES,YES,YES,YES,YES,YES,YES,YES,NO
SAMN02644666,SRR1171087,10 (R),NA (NA),NA (NA),YES,YES,YES,YES,YES,YES,YES,YES,YES,NO
SAMN02644667,SRR1171088,10 (R),NA (NA),NA (NA),YES,YES,YES,YES,YES,YES,YES,YES,YES,NO
SAMN02644668,SRR1171089,10 (R),NA (NA),NA (NA),YES,YES,YES,YES,YES,YES,YES,YES,YES,NO
SAMN02644669,SRR1171090,10 (R),NA (NA),NA (NA),YES,YES,YES,YES,YES,YES,YES,YES,YES,NO
SAMN02644673,SRR1171095,7 (R),6 (R),6 (R),YES,YES,YES,YES,YES,NO,NO,NO,NO,NO
SAMN02644674,SRR1171096,7 (R),6 (R),6 (R),YES,YES,YES,YES,YES,NO,NO,NO,NO,NO
SAMN02644675,SRR1171097,7 (R),6 (R),6 (R),YES,YES,YES,YES,YES,NO,NO,NO,NO,NO
SAMN02644676,SRR1171098,7 (R),6 (R),6 (R),YES,YES,YES,YES,YES,NO,NO,NO,NO,NO
SAMN02644677,SRR1171099,7 (R),6 (R),6 (R),YES,YES,YES,YES,YES,NO,NO,NO,NO,NO
SAMN02644678,SRR1171100,7 (R),6 (R),6 (R),YES,YES,YES,YES,YES,NO,NO,NO,NO,NO
SAMN02644679,SRR1171101,8 (R),6 (R),7 (R),YES,YES,YES,YES,YES,NO,NO,NO,NO,NO
SAMN02644680,SRR1171102,8 (R),6 (R),7 (R),YES,YES,YES,YES,YES,NO,NO,NO,NO,NO
SAMN02644682,SRR1171103,8 (R),6 (R),7 (R),YES,YES,YES,YES,YES,NO,NO,NO,NO,NO
SAMN02644683,SRR1171104,8 (R),6 (R),7 (R),YES,YES,YES,YES,YES,NO,NO,NO,NO,NO
SAMN02644684,SRR1171105,8 (R),6 (R),7 (R),YES,YES,YES,YES,YES,NO,NO,NO,NO,NO
SAMN02644685,SRR1171106,8 (R),6 (R),7 (R),YES,YES,YES,YES,YES,NO,NO,NO,NO,NO
SAMN02644686,SRR1171107,8 (R),6 (R),7 (R),YES,YES,YES,YES,YES,NO,NO,NO,NO,NO
SAMN02644687,SRR1171108,8 (R),6 (R),7 (R),YES,YES,YES,YES,YES,NO,NO,NO,NO,NO
SAMN02644688,SRR1171109,8 (R),6 (R),7 (R),YES,YES,YES,YES,YES,NO,NO,NO,NO,NO
SAMN02644689,SRR1171110,8 (R),6 (R),7 (R),YES,YES,YES,YES,YES,NO,NO,NO,NO,NO
SAMN02644690,SRR1171111,7 (R),6 (R),6 (R),YES,YES,YES,YES,YES,NO,NO,NO,NO,NO
SAMN02644691,SRR1171112,15 (R),10 (R),7 (R),NO,YES,YES,YES,YES,YES,YES,YES,NO,NO
SAMN02644692,SRR1171113,15 (R),10 (R),7 (R),NO,YES,YES,YES,YES,YES,YES,YES,NO,NO
SAMN02644696,SRR1171116,9 (R),NA (NA),NA (NA),YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
SAMN02644697,SRR1171117,9 (R),NA (NA),NA (NA),YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
SAMN02644698,SRR1171118,9 (R),NA (NA),NA (NA),YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
SAMN02644699,SRR1171119,9 (R),NA (NA),NA (NA),YES,YES,YES,NO,NO,NO,NO,NO,NO,YES
SAMN02644700,SRR1171120,9 (R),NA (NA),NA (NA),YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
SAMN02644701,SRR1171121,9 (R),NA (NA),NA (NA),YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
SAMN02644702,SRR1171122,9 (R),NA (NA),NA (NA),YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
SAMN02644703,SRR1171123,9 (R),NA (NA),NA (NA),YES,YES,YES,NO,NO,NO,NO,NO,NO,YES
SAMN02644704,SRR1171124,9 (R),NA (NA),NA (NA),YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
SAMN02644705,SRR1171125,10 (R),NA (NA),NA (NA),YES,YES,YES,YES,YES,YES,YES,YES,YES,NO
SAMN02644706,SRR1171126,10 (R),NA (NA),NA (NA),YES,YES,YES,YES,YES,YES,YES,YES,YES,NO
SAMN02644707,SRR1171127,10 (R),NA (NA),NA (NA),YES,YES,YES,YES,YES,YES,YES,YES,YES,NO
SAMN02644708,SRR1171128,7 (R),6 (R),6 (R),YES,YES,YES,YES,YES,NO,NO,NO,NO,NO
SAMN02644709,SRR1171129,8 (R),6 (R),7 (R),YES,YES,YES,YES,YES,NO,NO,NO,NO,NO
SAMN02644710,SRR1171130,8 (R),6 (R),7 (R),YES,YES,YES,YES,YES,NO,NO,NO,NO,NO
SAMN02644711,SRR1171131,8 (R),6 (R),7 (R),YES,YES,YES,YES,YES,NO,NO,NO,NO,NO
SAMN02644712,SRR1171132,8 (R),6 (R),7 (R),YES,YES,YES,YES,YES,NO,NO,NO,NO,NO
SAMN02644713,SRR1171133,8 (R),6 (R),7 (R),YES,YES,YES,YES,YES,NO,NO,NO,NO,NO
SAMN02644714,SRR1171134,8 (R),6 (R),7 (R),YES,YES,YES,YES,YES,NO,NO,NO,NO,NO
SAMN02644721,SRR1171135,8 (R),6 (R),7 (R),YES,YES,YES,YES,YES,NO,NO,NO,NO,NO
SAMN02644722,SRR1171136,8 (R),6 (R),7 (R),YES,YES,YES,YES,YES,NO,NO,NO,NO,NO
SAMN02644723,SRR1171137,8 (R),6 (R),7 (R),YES,YES,YES,YES,YES,NO,NO,NO,NO,NO
SAMN02644724,SRR1171138,8 (R),6 (R),7 (R),YES,YES,YES,YES,YES,NO,NO,NO,NO,NO
SAMN02644725,SRR1171139,16 (R),8 (R),12 (R),NO,YES,YES,YES,YES,NO,NO,NO,NO,NO
SAMN02644726,SRR1171140,16 (R),8 (R),12 (R),NO,YES,YES,YES,YES,NO,NO,NO,NO,NO
SAMN02644727,SRR1171141,16 (R),8 (R),12 (R),NO,YES,YES,YES,YES,NO,NO,NO,NO,NO
SAMN02644728,SRR1171142,16 (R),8 (R),12 (R),NO,YES,YES,YES,YES,NO,NO,NO,NO,NO
SAMN02644729,SRR1171143,16 (R),8 (R),12 (R),NO,YES,YES,YES,YES,NO,NO,NO,NO,NO
SAMN02644730,SRR1171144,16 (R),8 (R),12 (R),NO,YES,YES,YES,YES,NO,NO,NO,NO,NO
SAMN02646221,SRR1171952,17 (R),NA (NA),NA (NA),NO,NO,NO,NO,NO,YES,YES,YES,NO,NO
SAMN02646222,SRR1171979;SRR1171980,17 (R),NA (NA),NA (NA),NO,NO,NO,NO,NO,YES,YES,YES,NO,YES
SAMN02646223,SRR1171981;SRR1171982,17 (R),NA (NA),NA (NA),NO,NO,NO,NO,NO,YES,YES,YES,NO,NO
SAMN02646224,SRR1171983;SRR1171984,17 (R),NA (NA),NA (NA),NO,NO,NO,NO,NO,YES,YES,YES,NO,NO
SAMN02646225,SRR1171985;SRR1171986,17 (R),NA (NA),NA (NA),NO,NO,NO,NO,NO,YES,YES,YES,NO,NO
SAMN02646226,SRR1171987,10 (R),NA (NA),NA (NA),YES,YES,YES,NO,NO,NO,NO,NO,NO,YES
SAMN02646227,SRR1171989,10 (R),NA (NA),NA (NA),YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
SAMN02646228,SRR1171990,10 (R),NA (NA),NA (NA),YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
SAMN02646230,SRR1171992,17 (R),NA (NA),NA (NA),NO,NO,NO,NO,NO,YES,YES,YES,NO,NO
SAMN02646231,SRR1171993,10 (R),NA (NA),NA (NA),YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
SAMN02646232,SRR1171994,10 (R),NA (NA),NA (NA),YES,YES,YES,YES,YES,YES,YES,YES,YES,NO
SAMN02646233,SRR1171995,10 (R),NA (NA),NA (NA),YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
SAMN02646236,SRR1171998,10 (R),NA (NA),NA (NA),YES,YES,YES,YES,YES,YES,YES,YES,YES,NO
SAMN02646371,SRR1172003,17 (R),10 (R),10 (R),NO,YES,YES,YES,YES,NO,NO,NO,NO,NO
SAMN02646372,SRR1172004,17 (R),10 (R),10 (R),NO,YES,YES,YES,YES,NO,NO,NO,NO,NO
SAMN02646373,SRR1172005,17 (R),10 (R),10 (R),NO,YES,YES,YES,YES,NO,NO,NO,NO,NO
SAMN02646374,SRR1172006,17 (R),10 (R),10 (R),NO,YES,YES,YES,YES,NO,NO,NO,NO,NO
SAMN02646375,SRR1172007,17 (R),10 (R),10 (R),NO,YES,YES,YES,YES,NO,NO,NO,NO,NO
SAMN02646376,SRR1172008,17 (R),10 (R),10 (R),NO,YES,YES,YES,YES,NO,NO,NO,NO,NO
SAMN02646377,SRR1172009,17 (R),10 (R),10 (R),NO,YES,YES,YES,YES,NO,NO,NO,NO,NO
SAMN02646378,SRR1172010,17 (R),10 (R),10 (R),NO,YES,YES,YES,YES,NO,NO,NO,NO,NO
SAMN02646379,SRR1172011,17 (R),10 (R),10 (R),NO,YES,YES,YES,YES,NO,NO,NO,NO,NO
SAMN02646380,SRR1172012,17 (R),10 (R),10 (R),NO,YES,YES,YES,YES,NO,NO,NO,NO,NO
SAMN02646382,SRR1172015,16 (R),15 (I),10 (R),NO,YES,YES,YES,YES,YES,YES,YES,NO,NO
SAMN02646383,SRR1172016,16 (R),15 (I),10 (R),NO,YES,YES,YES,YES,YES,YES,YES,NO,NO
SAMN02646384,SRR1172017,16 (R),15 (I),10 (R),NO,YES,YES,YES,YES,YES,YES,YES,NO,NO
SAMN02646385,SRR1172018,9 (R),8 (R),8 (R),YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
SAMN02646386,SRR1172019,9 (R),8 (R),8 (R),YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
SAMN02646387,SRR1172023,9 (R),8 (R),8 (R),YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
SAMN02646388,SRR1172028;SRR1172029,9 (R),8 (R),8 (R),YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
SAMN02646389,SRR1172038,9 (R),8 (R),8 (R),YES,YES,YES,NO,NO,YES,YES,YES,YES,YES
SAMN02646390,SRR1172039;SRR1172040,9 (R),8 (R),8 (R),YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
SAMN02646391,SRR1172047;SRR1172048,9 (R),8 (R),8 (R),YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
SAMN02646392,SRR1172055,9 (R),8 (R),8 (R),YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
SAMN02646393,SRR1172062,9 (R),8 (R),8 (R),YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
SAMN02646747,SRR1173917,17 (R),NA (NA),NA (NA),NO,NO,NO,NO,NO,YES,YES,YES,NO,NO
SAMN02649415,SRR1174341;SRR1174342,9 (R),8 (R),9 (R),YES,YES,YES,NO,NO,YES,YES,YES,NO,YES
SAMN02649416,SRR1174343,16 (R),NA (NA),NA (NA),NO,YES,YES,NO,NO,YES,YES,YES,NO,YES
SAMN02649417,SRR1174345,17 (R),NA (NA),NA (NA),NO,YES,YES,NO,NO,YES,YES,YES,NO,YES
SAMN02649419,SRR1174347,15 (R),11 (R),11 (R),NO,YES,YES,NO,NO,YES,YES,YES,NO,YES
SAMN02649420,SRR1174348,7 (R),6 (R),7 (R),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
SAMN02649421,SRR1174349,7 (R),6 (R),7 (R),NO,YES,YES,YES,YES,NO,NO,NO,NO,NO
SAMN02649422,SRR1174350,7 (R),6 (R),7 (R),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
SAMN02649423,SRR1174351,7 (R),6 (R),7 (R),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
SAMN02649424,SRR1174352,10 (R),NA (NA),NA (NA),YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
SAMN02649521,SRR1174357,10 (R),NA (NA),NA (NA),YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
SAMN02649522,SRR1174358,10 (R),NA (NA),NA (NA),YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
SAMN02649523,SRR1174359,9 (R),6 (R),6 (R),YES,NO,NO,NO,NO,YES,YES,YES,YES,YES
SAMN02649524,SRR1174360,9 (R),6 (R),6 (R),YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
SAMN02649525,SRR1174361,9 (R),6 (R),6 (R),YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
SAMN02649526,SRR1174362,8 (R),7 (R),6 (R),YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
SAMN02649527,SRR1174363,8 (R),7 (R),6 (R),YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
SAMN02649528,SRR1174364,8 (R),7 (R),6 (R),YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
SAMN02649529,SRR1174365,8 (R),7 (R),6 (R),YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
SAMN02649530,SRR1174366,17 (R),12 (R),11 (R),NO,YES,YES,YES,YES,YES,YES,YES,NO,NO
SAMN02692944,SRR1200531;SRR1200532;SRR1200533,7 (R),NA (NA),NA (NA),YES,YES,YES,YES,YES,YES,YES,YES,YES,NO
SAMN02692945,SRR1200534;SRR1200535;SRR1200536,6 (R),NA (NA),NA (NA),YES,YES,YES,YES,YES,YES,YES,YES,NO,NO
SAMN02692946,SRR1200537;SRR1200539,7 (R),NA (NA),NA (NA),YES,YES,YES,YES,YES,YES,YES,YES,YES,NO
SAMN02692947,SRR1200540,6 (R),6 (R),6 (R),YES,YES,YES,YES,YES,YES,YES,YES,YES,NO
SAMN02692948,SRR1200541;SRR1200542,9 (R),NA (NA),NA (NA),YES,YES,YES,YES,YES,YES,YES,YES,YES,NO
SAMN02692949,SRR1200543,7 (R),6 (R),6 (R),YES,YES,YES,YES,YES,NO,NO,NO,NO,NO
SAMN02692950,SRR1200544,8 (R),7 (R),7 (R),YES,YES,YES,NO,NO,NO,NO,NO,YES,NO
SAMN02692952,SRR1200546;SRR1200547,8 (R),7 (R),7 (R),YES,YES,YES,YES,YES,YES,YES,YES,NO,NO
SAMN02692954,SRR1200549,17 (R),NA (NA),NA (NA),NO,YES,YES,NO,NO,YES,YES,YES,NO,YES
SAMN02692955,SRR1200550,30 (S),19 (S),19 (S),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
SAMN02692956,SRR1200551,9 (R),6 (R),6 (R),YES,YES,YES,YES,YES,YES,YES,YES,NO,NO
SAMN02692958,SRR1200553,28 (S),21 (S),23 (S),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
SAMN02692961,SRR1200557;SRR1200558,17 (R),6 (R),6 (R),NO,NO,YES,NO,NO,NO,NO,NO,NO,NO
SAMN02692962,SRR1200559;SRR1200560,6 (R),NA (NA),NA (NA),NO,NO,NO,YES,YES,YES,YES,YES,NO,NO
SAMN02692963,SRR1200561;SRR1200562,10 (R),NA (NA),NA (NA),YES,YES,NO,YES,YES,YES,YES,YES,YES,NO
SAMN02692964,SRR1200563;SRR1200564;SRR1200565,6 (R),6 (R),6 (R),NO,YES,YES,YES,YES,NO,NO,NO,NO,NO
SAMN02692965,SRR1200566,10 (R),6 (R),6 (R),YES,YES,YES,NO,NO,YES,YES,YES,NO,NO
SAMN02692966,SRR1200567;SRR1200568,10 (R),6 (R),6 (R),YES,YES,YES,YES,YES,YES,YES,YES,YES,NO
SAMN02692967,SRR1200569;SRR1200570;SRR1200571,29 (S),24 (S),23 (S),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
SAMN02692968,SRR1200573;SRR1200574,6 (R),6 (R),6 (R),NO,YES,YES,YES,YES,NO,NO,NO,YES,NO
SAMN02692970,SRR1200578;SRR1200579;SRR1200580,6 (R),6 (R),6 (R),NO,YES,YES,YES,YES,NO,NO,NO,NO,NO
SAMN02692972,SRR1200583,30 (S),27 (S),30 (S),NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
SAMN02692973,SRR1200584,36 (S),22 (S),30 (S),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
SAMN02692975,SRR1200587,14 (R),6 (R),6 (R),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
SAMN02692976,SRR1200588,6 (R),6 (R),6 (R),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
SAMN02692977,SRR1200589,16 (R),NA (NA),NA (NA),NO,YES,YES,NO,NO,YES,YES,YES,NO,YES
SAMN02692978,SRR1200590;SRR1200591,16 (R),NA (NA),NA (NA),NO,YES,YES,NO,NO,YES,YES,YES,NO,YES
SAMN02692979,SRR1200592,17 (R),NA (NA),NA (NA),NO,YES,YES,NO,NO,YES,YES,YES,NO,YES
SAMN02692980,SRR1200593,17 (R),NA (NA),NA (NA),NO,YES,YES,NO,NO,YES,YES,YES,NO,YES
SAMN02692981,SRR1200594,17 (R),NA (NA),NA (NA),NO,YES,YES,NO,NO,YES,YES,YES,NO,YES
SAMN02692982,SRR1200595,6 (R),6 (R),6 (R),YES,YES,YES,YES,YES,YES,YES,NO,YES,NO
SAMN02692985,SRR1200598,17 (R),NA (NA),NA (NA),NO,NO,NO,NO,NO,YES,YES,YES,NO,NO
SAMN02692992,SRR1200607;SRR1200608,9 (R),6 (R),6 (R),YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
SAMN02692993,SRR1200609;SRR1200610,9 (R),6 (R),6 (R),YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
SAMN02692994,SRR1200611,8 (R),7 (R),6 (R),YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
SAMN02692995,SRR1200612;SRR1200613,17 (R),12 (R),11 (R),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO